CHILDID	PLOT	ACRES	LOWN	LUSE	larea
IN070056	2	.400000005960464	4	1	1620.00002413988
IN070056	3	.300000011920929	4	1	1215.00004827976
IN070056	4	.200000002980232	4	1	810.000012069941
IN070056	5	.200000002980232	4	1	810.000012069941
IN070057	1	.5	4	1	2025
IN070058	1	.300000011920929	4	1	1215.00004827976
IN070058	2	.200000002980232	4	1	810.000012069941
IN070058	3	.0500000007450581	4	1	202.500003017485
IN070059	1	.5	4	1	2025
IN070059	2	.300000011920929	4	1	1215.00004827976
IN070059	3	.200000002980232	4	1	810.000012069941
IN070060	1	.5	4	1	2025
IN070061	1	1.5	4	1	6075
IN070061	2	.699999988079071	4	3	2834.99995172024
IN070062	1	.200000002980232	4	1	810.000012069941
IN070062	2	.300000011920929	4	6	1215.00004827976
IN070063	1	.899999976158142	4	1	3644.99990344048
IN070063	2	.25	4	1	1012.5
IN070064	1	7	4	1	28350
IN070064	2	5	4	1	20250
IN070064	3	4	4	1	16200
IN070064	4	4	4	1	16200
IN070064	5	1.5	4	1	6075
IN070064	6	1	4	1	4050
IN070065	1	23	4	1	93150
IN070065	2	6	4	1	24300
IN070065	3	5	4	1	20250
IN070066	1	3	4	1	12150
IN070066	2	2	4	1	8100
IN070066	3	2	4	1	8100
IN070066	4	1	4	1	4050
IN070066	5	.5	4	1	2025
IN070066	6	.5	4	1	2025
IN070066	7	.5	4	1	2025
IN070066	8	.5	4	1	2025
IN070068	1	.5	3	1	2025
IN070068	2	.400000005960464	3	1	1620.00002413988
IN070068	3	.200000002980232	3	1	810.000012069941
IN070068	4	.200000002980232	3	1	810.000012069941
IN070069	1	.5	4	1	2025
IN070069	2	.300000011920929	4	1	1215.00004827976
IN070072	1	.25	4	1	1012.5
IN070072	2	.25	4	1	1012.5
IN070075	1	.200000002980232	4	1	810.000012069941
IN070075	2	.300000011920929	4	1	1215.00004827976
IN070075	3	.25	4	1	1012.5
IN070075	4	.150000005960464	4	1	607.500024139881
IN070075	5	.100000001490116	4	1	405.00000603497
IN070076	1	.5	3	1	2025
IN070076	2	.150000005960464	3	1	607.500024139881
IN070076	3	.119999997317791	3	1	485.999989137053
IN070077	1	.400000005960464	4	1	1620.00002413988
IN070077	2	.200000002980232	4	1	810.000012069941
IN070077	3	.180000007152557	4	1	729.000028967857
IN070077	4	.100000001490116	4	1	405.00000603497
IN070080	1	4	4	1	16200
IN070080	2	1.70000004768372	4	1	6885.00019311905
IN070080	3	1.60000002384186	4	1	6480.00009655952
IN070080	4	1	4	1	4050
IN070080	5	.800000011920929	3	1	3240.00004827976
IN070080	6	.5	4	1	2025
IN070080	7	.400000005960464	4	1	1620.00002413988
IN070080	8	.300000011920929	4	3	1215.00004827976
IN070081	1	2	4	1	8100
IN070081	2	1.5	4	1	6075
IN070081	3	1	4	1	4050
IN070082	1	5.5	4	6	22275
IN070082	2	3	4	6	12150
IN070082	3	2	4	6	8100
IN070082	4	.5	4	6	2025
IN070083	1	.189999997615814	4	6	769.499990344048
IN070084	1	.300000011920929	4	1	1215.00004827976
IN070085	1	.300000011920929	4	7	1215.00004827976
IN070085	2	.150000005960464	4	1	607.500024139881
IN070086	1	.200000002980232	4	1	810.000012069941
IN070087	1	4	2	1	16200
IN070087	2	1.5	2	1	6075
IN070088	1	.5	2	1	2025
IN070088	2	.400000005960464	2	1	1620.00002413988
IN070088	3	.400000005960464	2	1	1620.00002413988
IN070088	4	.400000005960464	2	1	1620.00002413988
IN070088	5	.300000011920929	2	1	1215.00004827976
IN070090	1	1	4	6	4050
IN070091	1	.200000002980232	4	1	810.000012069941
IN070092	1	1.5	3	1	6075
IN070092	2	1	3	1	4050
IN070092	3	1	3	1	4050
IN070092	4	.300000011920929	4	1	1215.00004827976
IN070093	1	.200000002980232	4	1	810.000012069941
IN070094	1	.400000005960464	3	1	1620.00002413988
IN070094	2	.300000011920929	3	1	1215.00004827976
IN070094	3	.300000011920929	3	1	1215.00004827976
IN070095	1	.5	4	1	2025
IN070096	1	.699999988079071	4	7	2834.99995172024
IN070096	2	.25	4	6	1012.5
IN070096	3	.200000002980232	4	6	810.000012069941
IN070096	4	.150000005960464	4	6	607.500024139881
IN070096	5	.140000000596046	4	6	567.000002413988
IN070097	1	1	3	1	4050
IN070097	2	.400000005960464	3	1	1620.00002413988
IN070097	3	.400000005960464	3	1	1620.00002413988
IN070099	1	.550000011920929	4	1	2227.50004827976
IN070099	2	2	3	1	8100
IN070099	3	1	3	1	4050
IN070099	4	.5	3	1	2025
IN070099	5	.5	3	1	2025
IN080002	1	6	4	1	24300
IN080002	2	4	4	1	16200
IN080002	3	.100000001490116	4	8	405.00000603497
IN080004	1	10	4	1	40500
IN080004	2	3.5	4	1	14175
IN080004	3	1.75	4	1	7087.5
IN080004	4	1.75	4	1	7087.5
IN080004	5	1.39999997615814	4	1	5669.99990344048
IN080004	6	1.25	4	1	5062.5
IN080004	7	.0500000007450581	4	8	202.500003017485
IN080006	1	6	4	1	24300
IN080006	2	4.25	4	1	17212.5
IN080006	3	.100000001490116	4	8	405.00000603497
IN080008	1	2	4	1	8100
IN080009	1	1	1	1	4050
IN080010	1	.0399999991059303	4	8	161.999996379018
IN080012	1	.0199999995529652	4	7	80.9999981895089
IN080014	1	1	4	1	4050
IN080016	1	1	4	1	4050
IN080017	1	.200000002980232	2	7	810.000012069941
IN080018	1	5	1	1	20250
IN080019	1	3	4	1	12150
IN080019	2	1	4	1	4050
IN080019	3	1	4	1	4050
IN080019	4	1	4	1	4050
IN080020	1	.5	4	1	2025
IN080021	1	.5	4	1	2025
IN080021	2	2	4	2	8100
IN080023	1	1	4	1	4050
IN080028	1	1	1	1	4050
IN080029	1	.0199999995529652	4	7	80.9999981895089
IN080030	1	1	1	1	4050
IN080031	1	4.5	4	1	18225
IN080031	2	1.25	4	1	5062.5
IN080033	1	.5	4	1	2025
IN080034	1	.5	4	1	2025
IN080035	1	1.5	4	1	6075
IN080036	1	2	4	1	8100
IN080036	2	1.25	4	1	5062.5
IN080036	3	.75	4	1	3037.5
IN080036	4	.0299999993294477	4	8	121.499997284263
IN080039	1	1	4	1	4050
IN080040	1	.800000011920929	4	1	3240.00004827976
IN080042	1	.600000023841858	1	1	2430.00009655952
IN080045	1	2	4	1	8100
IN080046	1	1.25	4	1	5062.5
IN080046	2	.75	4	1	3037.5
IN080047	1	3	4	1	12150
IN080048	1	7	1	1	28350
IN080050	1	5	4	1	20250
IN080050	2	5	1	1	20250
IN080052	1	1.25	4	1	5062.5
IN080052	2	4	1	1	16200
IN080053	1	1	4	1	4050
IN080054	1	2	4	1	8100
IN080054	2	4	4	1	16200
IN080055	1	3	4	1	12150
IN080055	2	2	4	1	8100
IN080055	3	1	4	1	4050
IN080055	5	.0399999991059303	4	8	161.999996379018
IN080056	1	3	1	1	12150
IN080056	2	1	4	1	4050
IN080056	3	.100000001490116	4	8	405.00000603497
IN080058	1	3	4	1	12150
IN080058	2	.100000001490116	4	8	405.00000603497
IN080059	1	3	1	1	12150
IN080059	2	1	4	1	4050
IN080059	3	.100000001490116	4	8	405.00000603497
IN080060	1	1	4	1	4050
IN080060	2	4	1	1	16200
IN080061	1	.5	4	1	2025
IN080063	1	1.5	1	1	6075
IN080063	2	.75	1	1	3037.5
IN080066	1	1	4	1	4050
IN080067	1	2	1	1	8100
IN080068	1	2.5	4	1	10125
IN080068	2	.5	4	1	2025
IN080068	3	.0299999993294477	4	1	121.499997284263
IN080069	1	.5	4	1	2025
IN080070	1	3	4	1	12150
IN080070	2	.0199999995529652	4	1	80.9999981895089
IN080071	1	2.5	4	1	10125
IN080071	2	.0399999991059303	4	8	161.999996379018
IN080072	1	1	4	1	4050
IN080072	2	1	1	1	4050
IN080073	1	3	4	1	12150
IN080074	1	1	4	1	4050
IN080075	1	1.5	4	1	6075
IN080076	1	1.5	4	1	6075
IN080076	2	1	4	1	4050
IN080077	1	5	4	1	20250
IN080078	1	6	1	1	24300
IN080078	2	3	4	1	12150
IN080080	1	1	4	1	4050
IN080081	1	2.25	4	1	9112.5
IN080081	2	1.75	4	1	7087.5
IN080081	3	.0799999982118607	4	1	323.999992758036
IN080082	1	2	1	1	8100
IN080082	2	1	4	1	4050
IN080082	3	.150000005960464	4	99	607.500024139881
IN080084	1	2	4	1	8100
IN080084	2	1	4	1	4050
IN080086	1	5	4	1	20250
IN080086	2	.0299999993294477	4	4	121.499997284263
IN080087	1	1	1	1	4050
IN080088	1	5	4	1	20250
IN080091	1	4.5	4	1	18225
IN080091	2	.00999999977648258	4	8	40.4999990947545
IN080092	1	2	1	1	8100
IN080092	2	1	4	1	4050
IN080094	1	1	4	1	4050
IN080094	2	1	1	1	4050
IN080096	1	4	4	1	16200
IN080096	2	.0199999995529652	4	4	80.9999981895089
IN080097	1	.5	4	1	2025
IN080098	1	2	4	1	8100
IN080100	1	3	4	1	12150
IN090001	1	2	4	1	8100
IN090001	2	1	4	1	4050
IN090002	1	2	4	1	8100
IN090002	2	1	4	1	4050
IN090003	1	3	4	1	12150
IN090003	2	2	4	1	8100
IN090004	1	.5	4	1	2025
IN090005	1	2	4	6	8100
IN090006	1	4	4	1	16200
IN090007	1	4	4	1	16200
IN090008	1	4	4	1	16200
IN090008	2	3	4	1	12150
IN090009	1	4	4	1	16200
IN090009	2	2	4	1	8100
IN090010	1	3	4	1	12150
IN090011	1	2	1	1	8100
IN090012	1	1	4	1	4050
IN090012	2	.5	4	1	2025
IN090015	1	3	4	1	12150
IN090016	1	1	1	1	4050
IN090016	2	.5	4	1	2025
IN090017	1	1	4	1	4050
IN090017	2	1	4	1	4050
IN090018	1	2	4	1	8100
IN090018	2	1	1	1	4050
IN090019	1	1	4	1	4050
IN090020	1	1	4	7	4050
IN090021	1	1.5	4	1	6075
IN090022	1	1	1	1	4050
IN090024	1	.5	4	1	2025
IN090024	2	1	1	1	4050
IN090026	1	9	4	1	36450
IN090026	2	6	4	1	24300
IN090026	3	3	4	1	12150
IN090026	4	2	4	1	8100
IN090027	1	3	4	1	12150
IN090027	2	2	4	1	8100
IN090027	3	.300000011920929	4	1	1215.00004827976
IN090028	1	2	4	1	8100
IN090028	2	1	4	1	4050
IN090028	3	1	4	1	4050
IN090029	1	.5	4	6	2025
IN090030	1	.800000011920929	4	1	3240.00004827976
IN090031	1	2	4	1	8100
IN090032	1	.5	4	1	2025
IN090033	1	1	4	1	4050
IN090033	2	1	4	1	4050
IN090037	1	1	1	1	4050
IN090038	1	1	4	1	4050
IN090040	1	2	4	1	8100
IN090041	1	4	4	1	16200
IN090042	1	2	4	1	8100
IN090042	2	1	4	1	4050
IN090043	1	1	1	1	4050
IN090045	1	3	4	1	12150
IN090046	1	2	4	1	8100
IN090046	2	2.5	4	1	10125
IN090048	1	2	4	1	8100
IN090048	2	1	4	1	4050
IN090049	1	3	4	1	12150
IN090050	1	2	4	1	8100
IN090050	2	1.5	4	1	6075
IN090051	1	3	4	1	12150
IN090051	2	1	4	1	4050
IN090053	1	2	4	1	8100
IN090057	1	2	4	1	8100
IN090058	1	2	4	1	8100
IN090058	2	3	4	1	12150
IN090059	1	1	4	1	4050
IN090060	1	4.5	4	1	18225
IN090061	1	1	4	7	4050
IN090062	1	2	4	1	8100
IN090063	1	2	4	1	8100
IN090063	2	1	4	1	4050
IN090063	3	3	4	1	12150
IN090063	4	1.5	4	3	6075
IN090064	1	3	4	1	12150
IN090064	2	2	4	1	8100
IN090065	1	4	4	1	16200
IN090066	1	2	4	1	8100
IN090066	2	1	4	1	4050
IN090067	1	8	4	1	32400
IN090068	1	3	4	1	12150
IN090068	2	1	4	1	4050
IN090068	3	1.5	4	3	6075
IN090069	1	4	4	1	16200
IN090070	1	4	1	1	16200
IN090071	1	3	1	1	12150
IN090076	1	1	4	1	4050
IN090077	1	2	4	1	8100
IN090077	2	1.5	4	1	6075
IN090078	1	1	4	1	4050
IN090078	2	1.5	1	1	6075
IN090080	1	1	4	1	4050
IN090080	2	1	4	1	4050
IN090082	1	2	4	5	8100
IN090083	1	3	4	1	12150
IN090083	2	4	4	1	16200
IN090083	3	3	4	1	12150
IN090083	4	2.5	4	1	10125
IN090083	5	4.5	4	1	18225
IN090085	1	1	4	1	4050
IN090085	2	1.5	4	1	6075
IN090087	1	4	4	99	16200
IN090087	2	2	4	99	8100
IN090088	1	5	4	1	20250
IN090088	2	5	4	1	20250
IN090088	3	4	4	1	16200
IN090089	1	2	4	1	8100
IN090089	2	4	1	1	16200
IN090090	1	2	4	1	8100
IN090094	1	1	4	6	4050
IN090097	1	4	4	6	16200
IN090100	1	3	4	1	12150
IN100006	1	1.5	4	6	6075
IN100008	1	.300000011920929	4	7	1215.00004827976
IN100042	1	3	4	7	12150
IN100043	1	.0199999995529652	4	7	80.9999981895089
IN100047	1	.0199999995529652	4	8	80.9999981895089
IN100077	1	20	4	1	81000
IN110001	1	3	4	8	12150
IN110003	1	4	4	1	16200
IN110003	2	.0500000007450581	4	8	202.500003017485
IN110004	1	20	3	1	81000
IN110004	2	2	4	1	8100
IN110004	3	2	4	1	8100
IN110004	4	2	4	1	8100
IN110005	1	20	3	1	81000
IN110005	2	12	4	1	48600
IN110005	3	.200000002980232	4	8	810.000012069941
IN110006	1	3	4	1	12150
IN110006	2	.0199999995529652	4	8	80.9999981895089
IN110007	1	5	4	1	20250
IN110007	2	5	4	1	20250
IN110007	3	.0599999986588955	4	8	242.999994568527
IN110008	1	2	1	1	8100
IN110008	2	1	1	1	4050
IN110008	3	.0500000007450581	1	8	202.500003017485
IN110009	1	15	4	1	60750
IN110009	2	5	4	1	20250
IN110009	3	5	4	1	20250
IN110009	4	5	4	1	20250
IN110010	1	1	4	1	4050
IN110011	1	2	1	1	8100
IN110012	1	6	3	1	24300
IN110012	2	1	4	1	4050
IN110012	3	.0199999995529652	4	8	80.9999981895089
IN110013	1	4	4	1	16200
IN110013	2	4	4	1	16200
IN110013	3	.0500000007450581	4	8	202.500003017485
IN110014	1	6	4	1	24300
IN110014	2	8	4	1	32400
IN110014	3	6	4	1	24300
IN110014	4	.800000011920929	4	8	3240.00004827976
IN110015	1	4	1	1	16200
IN110015	2	3	4	1	12150
IN110016	1	3	4	1	12150
IN110016	2	3	1	1	12150
IN110017	1	.0299999993294477	4	7	121.499997284263
IN110018	1	3	4	1	12150
IN110019	1	1	4	1	4050
IN110020	1	1	4	1	4050
IN110021	1	4	4	1	16200
IN110021	2	.0500000007450581	4	8	202.500003017485
IN110022	1	1	4	1	4050
IN110023	1	5	4	1	20250
IN110023	2	4	4	1	16200
IN110023	3	1	4	1	4050
IN110023	4	.100000001490116	4	8	405.00000603497
IN110024	1	3	4	1	12150
IN110024	2	.300000011920929	4	99	1215.00004827976
IN110025	1	6	4	1	24300
IN110025	2	2	4	1	8100
IN110025	3	.300000011920929	4	99	1215.00004827976
IN110027	1	1	4	1	4050
IN110027	2	4	4	1	16200
IN110027	3	3	4	1	12150
IN110027	4	2	4	1	8100
IN110027	5	12	4	1	48600
IN110028	1	4	4	1	16200
IN110028	2	3	4	1	12150
IN110028	3	2	4	1	8100
IN110028	4	.100000001490116	4	1	405.00000603497
IN110029	1	2	4	1	8100
IN110030	1	2	4	1	8100
IN110030	2	1.5	4	1	6075
IN110031	1	3	4	1	12150
IN110031	2	1	1	1	4050
IN110031	3	.0500000007450581	4	8	202.500003017485
IN110032	1	2	4	1	8100
IN110032	2	2	4	1	8100
IN110032	3	2	1	1	8100
IN110032	4	1	4	1	4050
IN110033	1	2.5	4	1	10125
IN110034	1	5	1	1	20250
IN110034	2	5	1	1	20250
IN110034	3	4	4	1	16200
IN110034	4	2	4	1	8100
IN110034	5	.0299999993294477	4	8	121.499997284263
IN110035	1	2	4	1	8100
IN110037	1	2	4	1	8100
IN110038	1	2	4	1	8100
IN110039	1	4	4	1	16200
IN110040	1	2	1	1	8100
IN110040	2	.5	4	1	2025
IN110041	1	.330000013113022	4	7	1336.50005310774
IN110041	2	.0299999993294477	4	8	121.499997284263
IN110042	1	5	4	1	20250
IN110042	2	5	4	1	20250
IN110042	3	.0500000007450581	4	8	202.500003017485
IN110043	1	4.40000009536743	4	1	17820.0003862381
IN110043	2	4.40000009536743	4	1	17820.0003862381
IN110043	3	2.25	4	1	9112.5
IN110043	4	2.25	4	1	9112.5
IN110043	5	.129999995231628	4	1	526.499980688095
IN110044	1	5.76999998092651	4	1	23368.4999227524
IN110044	2	4.88000011444092	4	1	19764.0004634857
IN110044	3	3.95000004768372	4	1	15997.500193119
IN110044	4	3.65000009536743	4	1	14782.5003862381
IN110044	5	.400000005960464	4	8	1620.00002413988
IN110045	1	18.6000003814697	4	1	75330.0015449524
IN110045	2	.0799999982118607	4	8	323.999992758036
IN110047	1	3	4	1	12150
IN110047	2	3	1	1	12150
IN110048	1	8	4	1	32400
IN110048	2	3	4	1	12150
IN110048	3	.100000001490116	4	1	405.00000603497
IN110049	1	1	4	1	4050
IN110049	2	.100000001490116	4	8	405.00000603497
IN110050	1	13	4	1	52650
IN110050	2	.100000001490116	4	8	405.00000603497
IN110050	3	.0299999993294477	4	8	121.499997284263
IN110051	1	20	4	1	81000
IN110051	2	10	4	1	40500
IN110051	3	.300000011920929	4	8	1215.00004827976
IN110052	1	1	4	1	4050
IN110052	2	.00999999977648258	4	8	40.4999990947545
IN110055	1	6.5	4	1	26325
IN110055	2	.0500000007450581	4	8	202.500003017485
IN110056	1	5	4	1	20250
IN110056	2	.0900000035762787	4	8	364.500014483929
IN110057	1	1.75	4	1	7087.5
IN110059	1	5	4	8	20250
IN110059	2	5	3	1	20250
IN110059	3	5	3	1	20250
IN110059	4	.5	4	8	2025
IN110061	1	5	4	1	20250
IN110062	1	2	4	1	8100
IN110064	1	2.40000009536743	4	1	9720.0003862381
IN110064	2	2.15000009536743	4	1	8707.5003862381
IN110064	3	1	4	1	4050
IN110064	4	.0799999982118607	4	8	323.999992758036
IN110065	1	2.5	4	1	10125
IN110066	1	1	4	1	4050
IN110067	1	1.25	4	1	5062.5
IN110067	2	1.25	4	1	5062.5
IN110068	1	3	4	1	12150
IN110069	1	2	4	1	8100
IN110070	1	8.11999988555908	4	1	32885.9995365143
IN110070	2	2.96000003814697	4	1	11988.0001544952
IN110070	3	1.98000001907349	4	1	8019.00007724762
IN110070	4	.140000000596046	4	1	567.000002413988
IN110070	5	3.5	3	1	14175
IN110070	6	5	1	1	20250
IN110071	1	3	4	1	12150
IN110071	2	1.5	4	1	6075
IN110073	1	4	4	1	16200
IN110073	2	.0500000007450581	4	8	202.500003017485
IN110074	1	2	4	1	8100
IN110075	1	4.5	4	1	18225
IN110075	2	4	4	7	16200
IN110075	3	4	4	7	16200
IN110075	4	3.5	4	7	14175
IN110075	5	2	4	1	8100
IN110077	1	5	4	1	20250
IN110077	2	1.5	4	1	6075
IN110077	3	1.5	4	1	6075
IN110078	1	3	4	1	12150
IN110079	1	3	1	1	12150
IN110079	2	1	4	1	4050
IN110080	1	9	4	1	36450
IN110080	2	.0299999993294477	4	7	121.499997284263
IN110081	1	3	4	1	12150
IN110082	1	1	4	1	4050
IN110083	1	3	4	1	12150
IN110083	2	1.5	4	1	6075
IN110083	3	.0500000007450581	4	8	202.500003017485
IN110085	1	1	4	1	4050
IN110085	2	6	4	1	24300
IN110085	3	5	4	1	20250
IN110085	4	4	4	1	16200
IN110085	5	.100000001490116	99	99	405.00000603497
IN110086	1	1	4	1	4050
IN110087	1	2	4	1	8100
IN110087	2	.00999999977648258	4	8	40.4999990947545
IN110088	1	.0199999995529652	4	7	80.9999981895089
IN110089	1	3	4	1	12150
IN110089	2	1.5	4	1	6075
IN110089	3	1	3	1	4050
IN110089	4	.0700000002980232	4	8	283.500001206994
IN110091	1	3	4	6	12150
IN110093	1	3	4	1	12150
IN110093	2	2	4	1	8100
IN110093	3	.0199999995529652	4	8	80.9999981895089
IN110094	1	13	4	1	52650
IN110094	2	6	4	1	24300
IN110094	3	5	4	1	20250
IN110094	4	.400000005960464	4	8	1620.00002413988
IN110094	5	.100000001490116	4	8	405.00000603497
IN110095	1	15	4	1	60750
IN110095	2	.100000001490116	4	8	405.00000603497
IN110095	3	.100000001490116	4	8	405.00000603497
IN110095	4	.100000001490116	4	8	405.00000603497
IN110097	1	10	1	1	40500
IN110097	2	5	1	3	20250
IN110097	3	.150000005960464	4	1	607.500024139881
IN110098	1	1	4	1	4050
IN110100	1	3	4	1	12150
IN110102	1	2	3	1	8100
IN110103	1	1	4	1	4050
IN110104	1	10	4	1	40500
IN110104	2	15	1	1	60750
IN110104	3	.0500000007450581	4	8	202.500003017485
IN120003	1	8	4	1	32400
IN120003	2	.100000001490116	4	99	405.00000603497
IN120004	1	5	4	1	20250
IN120004	2	.300000011920929	4	99	1215.00004827976
IN120006	1	2	3	1	8100
IN120006	2	1.5	4	1	6075
IN120007	2	3	1	99	12150
IN120008	1	15	4	1	60750
IN120008	2	3	4	1	12150
IN120008	3	1	4	1	4050
IN120008	4	1	4	1	4050
IN120008	5	.100000001490116	4	8	405.00000603497
IN120010	1	3	4	1	12150
IN120010	2	.0199999995529652	4	8	80.9999981895089
IN120011	1	10	4	1	40500
IN120012	1	6	1	1	24300
IN120012	2	5	4	1	20250
IN120012	3	2	4	1	8100
IN120012	4	1	4	1	4050
IN120012	5	.0500000007450581	4	8	202.500003017485
IN120014	1	11	4	1	44550
IN120014	2	7	4	1	28350
IN120014	3	.5	4	8	2025
IN120015	1	5	4	1	20250
IN120015	2	.400000005960464	4	1	1620.00002413988
IN120015	3	.400000005960464	4	1	1620.00002413988
IN120018	1	9	4	1	36450
IN120018	2	4.5	4	1	18225
IN120018	3	4	4	1	16200
IN120018	4	4	4	1	16200
IN120018	5	.100000001490116	4	8	405.00000603497
IN120020	1	9	4	1	36450
IN120020	2	.5	4	1	2025
IN120020	3	.0500000007450581	4	8	202.500003017485
IN120022	1	5	4	6	20250
IN120023	1	2	4	1	8100
IN120026	1	9	4	1	36450
IN120026	2	5	4	1	20250
IN120027	1	5	4	1	20250
IN120027	2	4	4	1	16200
IN120027	3	3	3	1	12150
IN120028	1	5	4	1	20250
IN120030	1	1.5	4	1	6075
IN120031	1	5	4	7	20250
IN120032	1	4	4	7	16200
IN120033	1	5	1	1	20250
IN120033	2	4	4	1	16200
IN120033	3	2	3	1	8100
IN120034	1	2	4	7	8100
IN120035	1	9.03999996185303	4	1	36611.9998455048
IN120035	2	7.30000019073486	4	1	29565.0007724762
IN120035	3	2.29999995231628	4	1	9314.99980688095
IN120035	4	.150000005960464	4	8	607.500024139881
IN120036	1	5	4	1	20250
IN120039	1	3	3	1	12150
IN120039	2	2.5	4	1	10125
IN120039	3	2.5	4	1	10125
IN120039	4	1	4	1	4050
IN120039	5	.5	4	1	2025
IN120039	6	.400000005960464	4	8	1620.00002413988
IN120042	1	10	4	1	40500
IN120042	2	.100000001490116	4	8	405.00000603497
IN120045	1	5	3	1	20250
IN120045	2	.400000005960464	4	1	1620.00002413988
IN120046	1	.5	4	1	2025
IN120047	1	.25	4	1	1012.5
IN120048	1	1.60000002384186	4	1	6480.00009655952
IN120048	2	1.20000004768372	4	1	4860.00019311905
IN120049	1	.5	4	1	2025
IN120051	1	3	4	1	12150
IN120051	2	1.60000002384186	4	1	6480.00009655952
IN120052	1	5	4	1	20250
IN120052	2	1	4	1	4050
IN120052	3	.0799999982118607	4	8	323.999992758036
IN120054	1	4	4	1	16200
IN120054	2	1	4	1	4050
IN120054	3	1	4	1	4050
IN120054	4	.0399999991059303	4	7	161.999996379018
IN120055	1	.300000011920929	1	1	1215.00004827976
IN120056	1	6	4	1	24300
IN120056	2	6	4	1	24300
IN120056	3	4	4	1	16200
IN120056	4	2	4	1	8100
IN120057	1	4	4	1	16200
IN120057	2	3	4	7	12150
IN120058	1	4	4	1	16200
IN120058	2	2	4	1	8100
IN120059	1	3	4	1	12150
IN120059	2	2	4	1	8100
IN120059	3	1	4	1	4050
IN120061	1	2	4	1	8100
IN120062	1	6	4	1	24300
IN120064	1	1	4	7	4050
IN120065	1	3	4	1	12150
IN120065	2	.5	4	8	2025
IN120066	1	.449999988079071	4	7	1822.49995172024
IN120068	1	2	4	1	8100
IN120069	1	2	4	1	8100
IN120069	2	6	4	1	24300
IN120069	3	3	4	1	12150
IN120069	4	.0199999995529652	4	8	80.9999981895089
IN120072	1	1	4	1	4050
IN120072	2	1	4	1	4050
IN120073	1	3	4	1	12150
IN120073	2	1	4	1	4050
IN120073	3	.0500000007450581	4	8	202.500003017485
IN120074	1	3	4	1	12150
IN120074	2	9	4	1	36450
IN120074	3	.0900000035762787	4	1	364.500014483929
IN120076	1	1	4	1	4050
IN120077	1	6	4	1	24300
IN120079	1	.400000005960464	4	6	1620.00002413988
IN120081	1	1	1	1	4050
IN120081	2	.0299999993294477	4	4	121.499997284263
IN120083	1	2	4	1	8100
IN120084	1	3	4	1	12150
IN120084	2	2	4	1	8100
IN120084	4	.5	4	1	2025
IN120085	1	4	4	1	16200
IN120086	1	5	4	7	20250
IN120087	1	2	4	7	8100
IN120088	1	2	4	1	8100
IN120090	1	2	4	7	8100
IN120091	1	2	4	1	8100
IN120091	2	1	4	1	4050
IN120091	3	.200000002980232	4	8	810.000012069941
IN120095	1	2	4	1	8100
IN120098	1	4	4	1	16200
IN120098	2	1	1	1	4050
IN120098	3	.0299999993294477	4	4	121.499997284263
IN120099	1	2	4	1	8100
IN120099	2	1	4	1	4050
IN120099	3	.200000002980232	4	7	810.000012069941
IN120100	1	2	4	1	8100
IN120100	2	.300000011920929	3	1	1215.00004827976
IN120102	1	7	4	1	28350
IN130001	1	5	4	1	20250
IN130001	2	.0199999995529652	4	8	80.9999981895089
IN130002	1	1	4	1	4050
IN130002	2	1	4	1	4050
IN130002	3	1	4	1	4050
IN130002	4	1	4	8	4050
IN130003	1	3	4	1	12150
IN130003	2	2	4	1	8100
IN130004	1	1	4	1	4050
IN130004	2	.5	4	8	2025
IN130005	1	1	4	1	4050
IN130006	1	2	4	1	8100
IN130007	1	3	4	1	12150
IN130008	1	2.25	4	1	9112.5
IN130008	2	.75	4	1	3037.5
IN130009	1	7	4	1	28350
IN130010	1	3	4	99	12150
IN130010	2	1.5	4	99	6075
IN130010	3	1.5	4	99	6075
IN130010	4	.5	4	99	2025
IN130011	1	1	4	1	4050
IN130012	1	2.5	4	1	10125
IN130012	2	.0500000007450581	4	8	202.500003017485
IN130013	1	4	4	1	16200
IN130013	2	2	4	1	8100
IN130013	3	2	4	4	8100
IN130014	1	1	4	1	4050
IN130015	1	1	4	1	4050
IN130015	2	1	4	1	4050
IN130015	3	5	4	1	20250
IN130015	4	6	4	1	24300
IN130015	5	6	2	4	24300
IN130016	1	2	4	1	8100
IN130016	2	1.5	4	1	6075
IN130017	1	3.5	4	1	14175
IN130017	2	2	4	1	8100
IN130017	3	1.5	4	1	6075
IN130018	1	3	4	1	12150
IN130018	2	1	4	1	4050
IN130018	3	1	4	1	4050
IN130018	4	2	4	8	8100
IN130019	1	2	4	1	8100
IN130019	2	1	4	1	4050
IN130020	1	1.25	4	1	5062.5
IN130022	1	6	4	1	24300
IN130023	1	5	4	1	20250
IN130025	1	3	4	1	12150
IN130025	2	2	4	1	8100
IN130025	3	1	4	1	4050
IN130026	1	2	4	1	8100
IN130026	2	1.5	4	1	6075
IN130026	3	.5	4	1	2025
IN130026	4	.0599999986588955	4	8	242.999994568527
IN130029	1	1.5	4	1	6075
IN130031	1	10	4	1	40500
IN130031	2	3	4	1	12150
IN130031	3	1	4	8	4050
IN130032	1	3	4	1	12150
IN130032	2	4	4	8	16200
IN130033	1	2	4	1	8100
IN130034	1	1	4	1	4050
IN130037	1	1	4	99	4050
IN130038	1	3	4	1	12150
IN130038	2	2.5	4	1	10125
IN130038	3	2.5	4	1	10125
IN130038	4	2	4	1	8100
