CHILDID	PLOT	ACRES	LOWN	LUSE	larea
IN161031	3	1	4	1	4050
IN161032	1	2	4	1	8100
IN161032	2	3	3	1	12150
IN161033	1	3	4	2	12150
IN161034	1	5	1	1	20250
IN161035	1	3	4	1	12150
IN161035	2	6	4	1	24300
IN161036	1	2	1	1	8100
IN161037	1	2	4	1	8100
IN161037	2	2	4	1	8100
IN161041	1	1	4	7	4050
IN161044	1	1	4	7	4050
IN161045	1	4	4	1	16200
IN161046	1	3	4	1	12150
IN161046	2	2	4	1	8100
IN161046	3	1	4	1	4050
IN161049	1	3	4	1	12150
IN161049	2	3	4	1	12150
IN161049	3	2	4	2	8100
IN171001	1	2	4	1	8100
IN171001	2	1	4	2	4050
IN171002	1	1	4	7	4050
IN171002	2	.5	4	1	2025
IN171002	3	.5	4	1	2025
IN171002	4	.5	4	1	2025
IN171003	1	1.5	4	1	6075
IN171003	2	.5	4	7	2025
IN171003	3	.5	4	1	2025
IN171004	1	4	4	1	16200
IN171005	1	1	4	1	4050
IN171006	1	1	4	1	4050
IN171006	2	1	4	1	4050
IN171007	1	1	4	1	4050
IN171007	2	.5	3	1	2025
IN171007	3	.5	3	1	2025
IN171008	1	1	4	1	4050
IN171008	2	2	4	1	8100
IN171009	1	.5	4	1	2025
IN171010	1	.5	4	1	2025
IN171011	1	3	4	7	12150
IN171011	2	4	4	1	16200
IN171011	3	5	4	1	20250
IN171011	4	4.5	4	1	18225
IN171011	5	2.5	4	7	10125
IN171011	6	1	4	7	4050
IN171012	1	1.20000004768372	4	1	4860.00019311905
IN171013	1	1	4	2	4050
IN171014	1	1.5	4	1	6075
IN171014	2	9	4	1	36450
IN171015	1	.75	4	1	3037.5
IN171017	1	2	4	1	8100
IN171017	2	.25	4	7	1012.5
IN171018	1	1	4	1	4050
IN171018	2	1	4	7	4050
IN171019	1	1	4	1	4050
IN171020	1	2	4	1	8100
IN171020	2	.5	4	1	2025
IN171021	1	.5	4	1	2025
IN171022	1	1.5	4	1	6075
IN171022	2	2	4	1	8100
IN171022	3	1	4	1	4050
IN171022	4	1.5	1	7	6075
IN171023	1	1	4	1	4050
IN171024	1	1	4	1	4050
IN171025	1	2	4	1	8100
IN171025	2	1.5	4	1	6075
IN171026	1	2	4	1	8100
IN171026	2	2	4	1	8100
IN171026	3	2	4	1	8100
IN171026	4	5	4	7	20250
IN171026	5	3	4	1	12150
IN171026	6	2	4	7	8100
IN171026	7	2	4	7	8100
IN171027	1	.5	4	1	2025
IN171027	2	.5	4	1	2025
IN171028	1	5	4	1	20250
IN171029	1	2	4	1	8100
IN171029	2	2	4	7	8100
IN171029	3	.5	4	1	2025
IN171029	4	.5	4	1	2025
IN171031	1	2	4	1	8100
IN171032	1	1	4	1	4050
IN171032	2	1	4	1	4050
IN171032	3	.5	4	1	2025
IN171032	4	.5	4	1	2025
IN171032	5	.5	4	1	2025
IN171032	6	.5	4	1	2025
IN171033	1	2	4	1	8100
IN171034	1	2	4	1	8100
IN171035	1	2	4	1	8100
IN171036	1	1	4	1	4050
IN171037	1	.5	4	1	2025
IN171038	1	2	4	1	8100
IN171039	1	.5	4	1	2025
IN171039	2	.5	4	1	2025
IN171040	1	1.5	4	2	6075
IN171040	2	1	4	1	4050
IN171041	1	2	4	1	8100
IN171042	1	.5	4	1	2025
IN171042	2	9.5	4	2	38475
IN171043	1	3	4	1	12150
IN171043	2	1	4	1	4050
IN171044	1	1	4	1	4050
IN171048	1	.75	4	1	3037.5
IN171049	1	.5	4	1	2025
IN171050	1	3	4	1	12150
IN171050	2	1	4	1	4050
IN171050	3	1	4	1	4050
IN171050	4	5	4	7	20250
IN181001	1	1.5	4	1	6075
IN181001	2	.75	4	1	3037.5
IN181001	3	1	4	1	4050
IN181002	1	2	4	7	8100
IN181003	1	1.5	4	7	6075
IN181004	1	1.5	4	7	6075
IN181005	1	4	4	2	16200
IN181006	1	5	4	2	20250
IN181008	1	1.25	4	2	5062.5
IN181009	1	3	4	7	12150
IN181010	1	1.25	4	2	5062.5
IN181011	1	8	4	1	32400
IN181013	1	3	4	2	12150
IN181013	2	.5	4	1	2025
IN181014	1	2	1	1	8100
IN181015	1	2	4	1	8100
IN181015	2	5	4	1	20250
IN181015	3	.5	4	1	2025
IN181016	1	2.5	4	1	10125
IN181016	2	.75	4	1	3037.5
IN181016	3	2.5	4	1	10125
IN181016	4	.75	4	1	3037.5
IN181016	5	10	1	1	40500
IN181017	1	1	4	1	4050
IN181018	1	.5	4	1	2025
IN181019	1	2	4	1	8100
IN181020	1	5	4	1	20250
IN181020	2	.5	4	1	2025
IN181021	1	3	4	1	12150
IN181022	1	2.5	4	1	10125
IN181023	1	2	4	2	8100
IN181023	2	1	4	1	4050
IN181023	3	1	4	1	4050
IN181024	1	2	4	2	8100
IN181024	2	.5	4	1	2025
IN181025	1	1	4	1	4050
IN181025	2	2	4	1	8100
IN181026	1	4	4	1	16200
IN181026	2	2	4	1	8100
IN181026	3	1	4	7	4050
IN181026	4	2	1	1	8100
IN181027	1	1	4	1	4050
IN181027	2	2	4	1	8100
IN181027	3	2	4	1	8100
IN181028	1	2	4	1	8100
IN181029	1	1	4	1	4050
IN181029	2	1	4	1	4050
IN181029	3	1	4	1	4050
IN181029	4	1	4	1	4050
IN181030	1	1	4	1	4050
IN181030	2	2	4	1	8100
IN181030	3	2	4	1	8100
IN181030	4	2	4	1	8100
IN181031	1	1	4	7	4050
IN181032	1	1	4	7	4050
IN181033	1	1	4	7	4050
IN181034	1	1.5	4	1	6075
IN181035	1	3	4	1	12150
IN181038	1	1	4	2	4050
IN181039	1	1	4	1	4050
IN181041	1	4	4	1	16200
IN181041	2	3	4	1	12150
IN181042	1	2	4	1	8100
IN181045	1	2	4	7	8100
IN181046	1	2	4	1	8100
IN181046	2	1	4	1	4050
IN181047	1	1.5	4	1	6075
IN181047	2	1.5	4	7	6075
IN181048	1	2.5	4	1	10125
IN181048	2	1	4	1	4050
IN181049	1	3	3	1	12150
IN181049	2	1	4	1	4050
IN181049	3	1	4	1	4050
IN181050	1	4	4	1	16200
IN181050	2	6	3	1	24300
IN191001	1	3.5	4	6	14175
IN191001	2	1.25	4	1	5062.5
IN191002	1	1	4	1	4050
IN191002	2	2	4	1	8100
IN191002	3	1	4	1	4050
IN191003	1	3	4	1	12150
IN191003	2	4	4	7	16200
IN191004	1	.5	4	1	2025
IN191004	2	.5	4	1	2025
IN191005	1	1	4	1	4050
IN191006	1	4	4	1	16200
IN191007	1	2.5	4	1	10125
IN191007	2	2.5	4	1	10125
IN191008	1	5	4	1	20250
IN191009	1	1	4	1	4050
IN191010	1	2	4	1	8100
IN191010	2	2	4	1	8100
IN191010	3	1	4	2	4050
IN191010	4	.5	4	1	2025
IN191011	1	1	4	1	4050
IN191012	1	3	4	1	12150
IN191013	1	5	4	1	20250
IN191014	1	1	4	7	4050
IN191015	1	4	4	1	16200
IN191015	2	2	4	2	8100
IN191015	3	1	4	1	4050
IN191016	1	2	4	1	8100
IN191016	2	.5	4	1	2025
IN191017	1	2.5	4	1	10125
IN191017	2	2	2	1	8100
IN191018	1	2	4	6	8100
IN191019	1	2	4	1	8100
IN191019	2	4	4	1	16200
IN191020	1	2	4	1	8100
IN191020	2	1	4	1	4050
IN191020	3	1	4	1	4050
IN191020	4	4	1	1	16200
IN191021	1	6	4	1	24300
IN191023	1	2	4	1	8100
IN191023	2	2	4	1	8100
IN191023	3	2	4	1	8100
IN191024	1	4	4	7	16200
IN191025	1	2	4	1	8100
IN191027	1	2	4	1	8100
IN191027	2	2	4	1	8100
IN191028	1	5	4	1	20250
IN191029	1	2	4	1	8100
IN191029	2	1	4	1	4050
IN191030	1	4	4	1	16200
IN191030	2	4	4	1	16200
IN191030	3	4	4	2	16200
IN191030	4	2	4	1	8100
IN191030	5	2	4	2	8100
IN191031	1	2	4	1	8100
IN191031	2	10	4	7	40500
IN191032	1	6	4	1	24300
IN191032	2	4	4	1	16200
IN191032	3	2	4	1	8100
IN191033	1	4	4	1	16200
IN191033	2	1	4	1	4050
IN191034	1	7	4	1	28350
IN191034	2	3	4	1	12150
IN191034	3	2	4	1	8100
IN191034	4	2	4	1	8100
IN191035	1	3	4	1	12150
IN191036	1	7	4	1	28350
IN191037	1	1	4	1	4050
IN191038	1	7.40000009536743	4	1	29970.0003862381
IN191039	1	2	4	1	8100
IN191040	1	1	4	1	4050
IN191041	1	3	4	1	12150
IN191042	1	1	4	1	4050
IN191042	2	1	4	7	4050
IN191043	1	1	4	2	4050
IN191043	2	1	4	2	4050
IN191044	1	6	4	1	24300
IN191044	2	4	4	1	16200
IN191045	1	9	4	1	36450
IN191046	1	1	4	1	4050
IN191046	2	1	4	1	4050
IN191046	3	.5	4	1	2025
IN191046	4	.5	4	1	2025
IN191047	1	5	4	1	20250
IN191048	1	1	4	7	4050
IN191049	1	1.25	4	2	5062.5
IN191050	1	1	4	1	4050
IN201001	1	.00999999977648258	4	7	40.4999990947545
IN201007	1	.0199999995529652	4	6	80.9999981895089
IN201007	2	.0199999995529652	4	6	80.9999981895089
IN201007	3	.0199999995529652	4	6	80.9999981895089
IN201008	1	.00999999977648258	1	4	40.4999990947545
IN201010	1	3	4	6	12150
IN201013	1	.0399999991059303	4	7	161.999996379018
IN201036	1	.0399999991059303	4	7	161.999996379018
IN201037	1	.600000023841858	4	4	2430.00009655952
