CHILDCODE	LANDIDR5	TOTLNDR5	TOTLIVR5
171015	1	0	15
171015	2	0	0
171017	1	0	54
171017	2	0	0
171018	1	0	90
171018	2	0	0
171019	1	0	55
171019	2	0	0
171020	1	0	500
171020	2	0	0
171021	1	0	14
171021	2	0	0
171022	1	0	85
171022	2	0	0
171023	1	0	89
171023	2	0	0
171024	1	0	100
171024	2	0	0
171025	1	0	60
171025	2	0	0
171026	1	0	103
171026	2	0	40
171027	1	0	63
171027	2	0	0
171030	1	0	0
171030	2	0	48
171031	1	0	70
171031	2	0	0
171033	1	0	50
171033	2	0	76
171034	1	0	50
171034	2	0	0
171035	1	0	51
171035	2	0	0
171037	1	0	50
171037	2	0	0
171038	1	0	40
171038	2	0	0
171040	1	0	0
171040	2	0	60
171041	1	0	35
171041	2	0	0
171042	1	0	45
171042	2	0	0
171043	1	0	170
171043	2	0	0
171044	1	0	107
171044	2	0	0
171045	1	0	0
171045	2	0	15
171046	1	0	200
171046	2	0	0
171047	1	0	72
171047	2	0	0
171048	1	0	167
171048	2	0	2
171049	1	0	80
171049	2	0	0
171051	1	0	0
171051	2	0	12
171052	1	0	45
171052	2	0	0
171053	1	0	52
171053	2	0	0
171057	1	0	55
171057	2	0	0
171059	1	0	60
171059	2	0	0
171060	1	0	90
171060	2	0	0
171061	1	0	210
171061	2	0	0
171063	1	0	90
171063	2	0	0
181001	1	0	24
181001	2	0	85
181002	1	0	125
181002	2	0	0
181003	1	0	0
181003	2	0	12
181005	1	0	80
181005	2	0	0
181006	1	0	275
181006	2	0	0
181008	1	0	18
181008	2	0	0
181009	1	0	0
181009	2	0	65
181011	1	0	47
181011	2	0	0
181014	1	0	48
181014	2	0	0
181015	1	0	35
181015	2	0	0
181016	1	0	65
181016	2	0	0
181017	1	0	0
181017	2	0	12
181018	1	0	90
181018	2	0	0
181019	1	0	0
181019	2	0	15
181020	1	0	0
181020	2	0	40
181021	1	0	35
181021	2	0	0
181023	1	0	43
181023	2	0	0
181024	1	0	24
181024	2	0	0
181026	1	0	86
181026	2	0	0
181027	1	0	152
181027	2	0	0
181029	1	0	24
181029	2	0	0
181030	1	0	140
181030	2	0	0
181033	1	0	75
181033	2	0	0
181034	1	0	80
181034	2	0	100
181037	1	0	15
181037	2	0	0
181039	1	0	45
181039	2	0	0
181041	1	0	104
181041	2	0	0
181042	1	0	0
181042	2	0	270
181043	1	0	98
181043	2	0	0
181045	1	0	100
181045	2	0	0
181046	1	0	31
181046	2	0	0
181047	1	0	54
181047	2	0	0
181049	1	0	76
181049	2	0	0
181050	1	0	45
181050	2	0	0
181056	1	0	50
181056	2	0	0
181058	1	0	36
181058	2	0	0
181069	1	0	45
181069	2	0	0
181073	1	0	87
181073	2	0	0
181078	1	0	100
181078	2	0	0
191001	1	0	126
191001	2	0	0
191003	1	0	120
191003	2	0	0
191004	1	4000	78
191004	2	0	0
191005	1	0	150
191005	2	11500	0
191006	1	800	400
191006	2	0	0
191007	1	0	120
191007	2	0	0
191009	1	0	284
191009	2	0	0
191011	1	0	120
191011	2	0	0
191012	1	0	138
191012	2	0	0
191013	1	0	102
191013	2	0	0
191014	1	0	85
191014	2	0	0
191015	1	0	140
191015	2	0	0
191016	1	0	530
191016	2	0	0
191017	1	0	0
191017	2	0	50
191018	1	0	60
191018	2	0	0
191019	1	0	100
191019	2	0	0
191020	1	30000	147
191020	2	0	0
191021	1	0	350
191021	2	0	0
191022	1	0	150
191022	2	0	0
191023	1	0	181
191023	2	0	0
191024	1	0	274
191024	2	0	0
191025	1	0	62
191025	2	0	0
191026	1	0	80
191026	2	0	0
191027	1	0	80
191027	2	0	0
191028	1	0	0
191028	2	0	-77
191029	1	0	81
191029	2	0	0
191030	1	0	126
191030	2	0	0
191033	1	0	50
191033	2	0	0
191035	1	0	210
191035	2	0	0
191036	1	0	130
191036	2	0	0
191037	1	0	360
191037	2	0	0
191038	1	0	110
191038	2	0	0
191039	1	0	132
191039	2	0	0
191040	1	0	50
191040	2	0	0
191041	1	0	120
191041	2	0	0
191043	1	0	100
191043	2	0	0
191044	1	0	100
191044	2	50	0
191045	1	0	1500
191045	2	0	0
191046	1	0	400
191046	2	0	0
191047	1	0	0
191047	2	0	20
191048	1	0	80
191048	2	0	0
191049	1	0	300
191049	2	0	0
191050	1	0	84
191050	2	0	0
191052	1	0	100
191052	2	0	0
191055	1	0	670
191055	2	0	0
191057	1	0	67
191057	2	0	0
191070	1	0	500
191070	2	0	0
201003	1	0	157
201003	2	0	0
201005	1	0	52
201005	2	0	0
201007	1	0	75
201007	2	0	0
201008	1	0	220
201008	2	0	0
201010	1	0	67
201010	2	0	0
201011	1	0	160
201011	2	0	0
201013	1	0	123
201013	2	0	0
201014	1	0	60
201014	2	0	0
201016	1	0	90
201016	2	0	0
201017	1	0	0
201017	2	0	50
201023	1	0	120
201023	2	0	0
201024	1	0	47
201024	2	0	0
201025	1	0	60
201025	2	0	0
201030	1	0	48
201030	2	0	0
201032	1	0	70
201032	2	0	0
201034	1	0	75
201034	2	0	0
201039	1	0	85
201039	2	0	10
201042	1	0	75
201042	2	0	0
201045	1	0	60
201045	2	0	0
201046	1	0	60
201046	2	0	0
201049	1	0	0
201049	2	0	20
201050	1	0	86
201050	2	0	0
201051	1	0	165
201051	2	0	0
201052	1	0	80
201052	2	0	0
201054	1	0	200
201054	2	0	0
201056	1	0	-77
201056	2	0	0
201059	1	0	54
201059	2	0	0
201064	1	0	75
201064	2	0	0
201065	1	0	220
201065	2	0	0
201068	1	0	67
201068	2	0	0
201071	1	0	75
201071	2	0	0
201073	1	0	115
201073	2	0	0
201074	1	0	400
201074	2	0	0
201082	1	0	150
201082	2	0	0
201084	1	0	75
201084	2	0	0
201086	1	0	75
201086	2	0	0
201090	1	0	50
201090	2	0	0
201104	1	0	75
201104	2	0	0
