CHILDCODE	ACTIDR5	ECNSCTR5	ACTR5	ACTFORR5	ACTMTHR5	ACTDAYMTR5	ACTWEKR5	ACTDAYHR5	ACTHRSR5	PYMRECR5	ERNCSHR5	ERNKNDR5	HWPAIDR5	PDPCPRR5	PRFACTR5	MTHPRFR5
58025	1	7	11	1	12	24	4	6	9	1	900	 	4	 	1	6
58025	2	7	11	1	3	24	4	6	8	1	850	 	4	 	0	 
58025	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58026	1	20	11	3	8	24	4	6	12	3	1000	240	4	 	1	3
58026	2	7	11	1	4	24	4	6	12	3	1000	192	4	 	0	 
58026	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58027	1	1	7	2	6	12	4	3	8	0	 	 	 	 	0	 
58027	2	1	15	3	12	12	4	3	4	0	 	 	 	 	1	12
58027	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58028	1	1	21	6	12	12	4	6	10	1	20	 	2	 	1	3
58028	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58028	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58029	1	1	2	3	5	24	4	6	6	0	 	 	 	 	0	 
58029	2	6	11	1	7	24	4	6	12	1	1200	 	4	 	1	12
58029	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58030	1	9	11	1	6	24	4	6	10	1	600	 	8	 	0	 
58030	2	9	11	1	1	24	4	6	9	1	180	 	3	 	0	 
58030	3	1	7	2	5	20	4	5	5	0	 	 	 	 	1	5
68001	1	19	11	1	6	24	4	6	5	1	150	 	4	 	0	 
68001	2	19	11	1	4	6	4	2	9	1	850	 	4	 	1	1
68001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68002	1	14	10	2	12	12	4	3	8	1	1000	 	4	 	1	12
68002	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68004	1	13	11	1	8	24	4	5	8	1	600	 	4	 	1	12
68004	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68005	1	7	11	1	12	20	4	5	6	1	600	 	4	 	1	6
68005	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68005	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68006	1	16	11	1	8	12	4	3	2	1	13	 	1	 	1	12
68006	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68006	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68007	1	7	11	1	12	26	4	6	9	1	950	 	4	 	1	1
68007	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68007	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68008	1	7	11	1	12	26	4	6	9	1	425	 	8	 	1	2
68008	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68008	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68009	1	7	12	1	3	28	4	6	6	1	120	 	7	 	1	3
68009	2	7	7	2	9	16	4	4	5	0	 	 	 	 	1	9
68009	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68010	1	19	20	8	3	28	4	7	8	0	 	 	 	 	1	0
68010	2	19	10	6	1	12	4	3	3	1	200	 	7	 	1	12
68010	3	19	10	6	1	12	4	3	1	1	20	 	1	 	1	12
68011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68012	1	7	14	2	12	30	4	7	10	1	500	 	3	 	1	12
68012	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68012	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68013	1	7	11	1	11	24	4	6	8	1	850	 	4	 	1	12
68013	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68013	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68015	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68015	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68015	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68016	1	13	20	4	12	30	4	7	8	0	 	 	 	 	1	1
68016	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68017	1	1	3	3	1	30	4	5	8	1	250	 	4	 	1	3
68017	2	1	3	3	1	20	4	5	8	1	300	 	4	 	1	1
68017	3	1	3	3	1	20	4	6	8	1	300	 	4	 	1	2
68019	1	7	11	1	4	20	4	5	8	1	600	 	4	 	0	 
68019	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68019	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68020	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68020	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68020	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68021	1	16	11	1	9	20	4	5	7	1	800	 	4	 	1	0
68021	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68021	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68022	1	19	11	1	12	24	4	6	8	1	850	 	4	 	1	12
68022	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68022	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68023	1	19	10	6	12	28	4	6	20	1	90	 	2	 	1	12
68023	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68023	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68024	1	6	11	1	1	24	4	6	8	1	20	 	2	 	0	 
68024	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68024	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68025	1	9	12	1	4	30	4	7	6	1	300	 	3	 	0	 
68025	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68025	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78001	1	7	14	6	1	15	2	7	3	1	1200	 	4	 	0	 
78001	2	7	14	6	2	8	4	2	1	1	130	 	4	 	1	6
78001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78002	1	9	15	2	12	30	4	7	6	0	 	 	 	 	1	12
78002	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78003	1	19	11	3	12	26	4	6	6	1	10	 	2	 	1	12
78003	2	2	7	3	12	30	4	7	2	0	 	 	 	 	1	12
78003	3	3	10	6	3	8	4	2	1	1	200	 	6	1	1	12
78005	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78005	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78005	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78006	1	19	10	1	5	20	4	5	9	1	300	 	4	 	1	0
78006	2	19	10	1	7	28	4	7	12	1	200	 	3	 	0	 
78006	3	19	10	1	12	8	4	2	8	1	120	 	2	 	0	 
78008	1	9	15	2	12	8	4	2	8	0	 	 	 	 	1	12
78008	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78008	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78009	1	1	4	4	5	14	2	7	4	3	250	2100	4	 	1	12
78009	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78009	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78010	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78010	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78012	1	9	11	1	3	24	4	6	8	1	1200	 	4	 	0	 
78012	2	10	11	1	4	24	4	6	6	1	1100	 	4	 	0	 
78012	3	9	11	1	3	24	4	6	6	1	600	 	4	 	0	 
78013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78014	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78014	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78014	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78015	1	7	11	1	9	24	4	6	9	1	850	 	4	 	0	 
78015	2	7	14	6	3	16	4	4	4	1	600	 	4	 	0	 
78015	3	18	12	1	0	3	3	1	3	1	30	 	2	 	0	 
78016	1	8	10	6	12	24	4	6	8	1	50	 	2	 	1	4
78016	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78017	1	11	11	3	12	20	4	5	8	1	30	 	2	 	1	12
78017	2	15	11	1	3	15	4	4	12	1	1000	 	4	 	1	12
78017	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78018	1	11	11	1	1	26	4	6	8	1	500	 	4	 	0	 
78018	2	7	11	1	5	20	4	5	10	1	850	 	4	 	1	12
78018	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78019	1	13	11	1	2	26	4	6	6	1	850	 	4	 	1	12
78019	2	19	11	3	1	26	4	6	4	1	350	 	4	 	0	 
78019	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78020	1	18	11	1	12	26	4	6	4	1	190	 	8	 	1	12
78020	2	7	11	1	12	30	4	7	8	1	400	 	4	 	0	 
78020	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78021	1	10	11	1	1	24	4	6	8	1	950	 	4	 	0	 
78021	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78021	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78022	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78022	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78022	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78024	1	5	11	1	4	20	4	5	6	1	750	 	4	 	0	 
78024	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78024	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78026	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78026	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78026	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78027	1	8	10	6	12	30	4	7	13	1	50	 	2	 	1	12
78027	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78027	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78028	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78028	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78028	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78029	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78029	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78029	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78030	1	9	11	1	12	26	4	6	8	1	850	 	4	 	1	6
78030	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78030	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78031	1	6	11	3	11	24	4	6	9	1	150	 	3	 	0	 
78031	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78031	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78032	1	17	11	1	7	16	4	4	8	1	500	 	4	 	0	 
78032	2	18	12	1	8	3	3	1	2	1	100	 	1	 	1	12
78032	3	7	9	6	2	26	4	6	5	1	200	 	3	 	1	6
78033	1	10	11	1	12	20	4	5	7	1	200	 	4	 	1	12
78033	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78033	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78034	1	7	11	1	2	30	4	7	8	3	600	150	4	 	0	 
78034	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78034	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78035	1	7	14	2	12	20	4	5	5	0	 	 	 	 	1	12
78035	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78035	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78036	1	10	11	1	12	24	4	6	8	1	1500	 	4	 	1	12
78036	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78036	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78037	1	7	11	2	4	16	4	4	5	1	5	 	2	 	0	 
78037	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78037	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78038	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78038	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78038	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78039	1	9	11	1	12	24	4	6	8	1	200	 	3	 	1	2
78039	2	9	11	1	6	28	4	7	12	1	250	 	3	 	0	 
78039	3	9	11	2	6	24	4	6	8	1	700	 	4	 	0	 
78040	1	19	11	1	2	24	4	6	8	1	200	 	3	 	0	 
78040	2	19	11	1	1	24	4	6	11	1	240	 	4	 	1	12
78040	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78041	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78041	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78041	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78042	1	7	14	2	12	8	4	2	8	1	50	 	4	 	1	12
78042	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78042	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78043	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78043	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78043	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78044	1	16	11	1	10	20	4	5	5	1	850	 	4	 	1	10
78044	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78044	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78045	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78045	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78045	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78046	1	7	11	1	12	24	4	6	8	1	600	 	4	 	0	 
78046	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78046	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78047	1	19	11	1	12	24	4	6	8	1	1000	 	4	 	1	12
78047	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78047	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78048	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78048	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78048	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78049	1	9	11	1	2	24	4	6	7	1	500	 	4	 	1	4
78049	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78049	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78051	1	9	11	1	12	24	4	6	8	1	700	 	4	 	1	12
78051	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78051	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78052	1	7	14	6	7	14	2	6	4	1	90	 	4	 	1	12
78052	2	10	11	1	3	24	4	6	6	1	600	 	4	 	0	 
78052	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88001	1	20	23	8	6	30	4	6	8	1	30	 	2	 	0	 
88001	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88002	1	9	11	1	12	24	4	6	7	3	500	268	4	 	1	12
88002	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88003	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88003	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88004	1	6	3	3	6	15	2	7	4	1	600	 	3	 	0	 
88004	2	9	11	1	4	26	4	6	8	1	920	 	4	 	1	6
88004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88005	1	6	11	1	11	24	4	6	4	1	425	 	8	 	1	12
88005	2	16	11	1	1	20	4	5	6	1	900	 	4	 	0	 
88005	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88007	1	6	11	1	12	24	4	6	8	1	1000	 	4	 	1	12
88007	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88007	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88008	1	8	10	6	12	20	4	5	12	1	40	 	2	 	1	6
88008	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88008	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88010	1	7	11	1	6	26	4	6	10	1	800	 	4	 	1	3
88010	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88010	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88011	1	19	11	3	12	30	4	6	8	1	850	 	4	 	1	12
88011	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88011	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88012	1	15	11	4	12	24	4	6	7	1	1300	 	4	 	1	12
88012	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88012	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88013	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88013	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88014	1	3	11	3	8	15	2	6	8	1	21	 	6	6	1	12
88014	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88014	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88015	1	18	9	6	12	8	4	3	5	1	60	 	2	 	1	12
88015	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88015	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88016	1	7	11	1	12	24	4	6	6	1	300	 	3	 	1	12
88016	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88017	1	6	12	3	6	12	4	3	8	1	30	 	2	 	0	 
88017	2	3	7	2	12	30	4	7	2	0	 	 	 	 	1	12
88017	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88020	1	7	11	1	0	0	0	6	12	1	270	 	3	 	1	0
88020	2	3	11	1	3	26	4	5	11	1	180	 	3	 	0	 
88020	3	9	11	1	2	30	4	7	8	3	80	56	3	 	0	 
88021	1	9	11	1	12	24	4	6	8	1	1200	 	4	 	1	12
88021	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88021	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88022	1	19	11	1	6	24	4	6	8	1	750	 	4	 	0	 
88022	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88022	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88023	1	7	11	2	12	30	4	7	6	1	15	 	2	 	1	12
88023	2	7	14	6	3	6	1	6	12	1	35	 	2	 	1	12
88023	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88024	1	17	11	1	12	24	4	6	8	1	1100	 	4	 	1	12
88024	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88024	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88025	1	9	12	1	2	28	4	7	9	1	96	 	3	 	0	 
88025	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88025	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88026	1	7	11	1	12	24	4	6	8	1	800	 	4	 	0	 
88026	2	7	15	2	12	2	4	2	2	0	 	 	 	 	1	4
88026	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88027	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88027	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88027	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88029	1	18	12	1	12	8	4	2	6	1	140	 	2	 	1	12
88029	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88029	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
88031	1	9	11	3	2	24	4	6	5	1	800	 	4	 	0	 
88031	2	14	11	4	11	24	4	6	8	1	800	 	4	 	0	 
88031	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98001	1	4	11	1	12	24	4	6	8	1	640	 	3	 	1	12
98001	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98006	1	7	11	1	3	26	4	6	9	1	250	 	4	 	1	2
98006	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98006	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98007	1	9	11	1	12	24	4	6	5	1	500	 	4	 	1	12
98007	2	9	11	1	6	8	4	2	5	1	500	 	4	 	1	12
98007	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98008	1	7	11	3	9	6	3	2	10	1	100	 	4	 	1	9
98008	2	9	11	3	6	8	4	2	11	1	40	 	3	 	0	 
98008	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98010	1	14	11	1	12	24	4	6	8	1	1200	 	4	 	1	12
98010	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98010	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98011	1	19	11	1	12	24	4	6	11	1	400	 	4	 	1	12
98011	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98011	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98012	1	7	15	2	2	30	4	7	14	0	 	 	 	 	1	12
98012	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98012	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98013	1	4	11	1	12	18	4	3	7	1	10	 	1	 	1	12
98013	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98013	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98014	1	4	3	3	12	24	4	6	9	1	350	 	3	 	1	12
98014	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98014	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98016	1	4	3	3	12	24	4	6	8	1	400	 	3	 	1	6
98016	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98016	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98018	1	19	11	3	12	4	4	1	8	3	30	12	2	 	1	6
98018	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98018	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98020	1	3	11	1	12	20	4	5	10	1	500	 	8	 	1	12
98020	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98020	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98022	1	7	11	1	11	20	4	5	8	1	350	 	3	 	1	12
98022	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98022	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98023	1	1	2	1	12	26	4	6	8	1	440	 	8	 	1	12
98023	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98023	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98024	1	1	2	1	9	24	4	6	8	1	850	 	4	 	1	9
98024	2	1	3	3	12	4	4	1	5	1	20	 	2	 	1	12
98024	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98025	1	1	11	4	0	2	1	6	8	1	175	 	8	 	1	12
98025	2	1	7	2	4	4	4	4	9	0	 	 	 	 	0	 
98025	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98026	1	4	3	1	4	24	4	6	9	1	355	 	3	 	1	12
98026	2	7	11	1	12	24	4	6	8	1	900	 	4	 	0	 
98026	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98028	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98028	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98028	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98029	1	14	12	3	3	8	4	2	13	1	20	 	2	 	0	 
98029	2	14	11	8	1	21	3	7	10	1	150	 	8	 	0	 
98029	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108001	1	9	11	1	1	12	4	3	9	1	500	 	4	 	0	 
108001	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108001	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108002	1	7	7	2	12	30	4	7	3	0	 	 	 	 	1	12
108002	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108002	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108003	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108003	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108004	1	8	10	6	10	30	4	7	16	1	35	 	2	 	1	12
108004	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108006	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108006	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108006	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108007	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108007	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108007	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108008	1	18	11	1	12	26	4	6	10	1	25	 	2	 	1	12
108008	2	9	11	1	4	8	4	2	8	1	50	 	2	 	0	 
108008	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108009	1	3	11	1	7	24	4	6	5	1	400	 	4	 	1	2
108009	2	16	11	1	6	20	4	5	4	1	400	 	4	 	0	 
108009	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108012	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108012	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108012	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108013	1	19	11	1	8	20	4	5	6	4	750	750	4	 	0	 
108013	2	19	11	1	1	20	5	4	8	1	850	 	4	 	1	2
108013	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108015	1	9	12	3	12	30	4	7	9	1	110	 	3	 	1	12
108015	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108015	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108016	1	9	15	2	12	8	4	2	3	0	 	 	 	 	1	12
108016	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
