CHILDCODE	WRKIDR4	WRK12MR4	WRKWEER4
121022	1	0	 
121022	2	0	 
121022	3	0	 
121023	1	0	 
121023	2	1	0
121023	3	1	1
121024	1	0	 
121024	2	0	 
121024	3	0	 
121026	1	1	1
121026	2	0	 
121026	3	0	 
121027	1	1	1
121027	2	0	 
121027	3	0	 
121028	1	1	1
121028	2	0	 
121028	3	0	 
121030	1	0	 
121030	2	0	 
121030	3	1	1
121031	1	0	 
121031	2	0	 
121031	3	1	0
121033	1	1	0
121033	2	0	 
121033	3	0	 
121034	1	0	 
121034	2	0	 
121034	3	1	1
121037	1	0	 
121037	2	0	 
121037	3	1	1
121038	1	1	1
121038	2	1	1
121038	3	0	 
121040	1	0	 
121040	2	0	 
121040	3	0	 
121043	1	1	1
121043	2	1	1
121043	3	0	 
121047	1	0	 
121047	2	1	1
121047	3	0	 
121048	1	1	1
121048	2	0	 
121048	3	1	0
121053	1	0	 
121053	2	0	 
121053	3	1	0
121054	1	0	 
121054	2	0	 
121054	3	1	1
121056	1	0	 
121056	2	0	 
121056	3	0	 
131001	1	1	1
131001	2	1	0
131001	3	0	 
131002	1	1	0
131002	2	1	1
131002	3	0	 
131004	1	0	 
131004	2	1	0
131004	3	1	1
131005	1	1	1
131005	2	0	 
131005	3	0	 
131006	1	0	 
131006	2	1	1
131006	3	0	 
131007	1	1	1
131007	2	0	 
131007	3	0	 
131008	1	1	1
131008	2	0	 
131008	3	0	 
131009	1	1	1
131009	2	0	 
131009	3	0	 
131010	1	1	1
131010	2	0	 
131010	3	1	1
131011	1	0	 
131011	2	0	 
131011	3	1	1
131012	1	1	1
131012	2	0	 
131012	3	0	 
131013	1	1	1
131013	2	0	 
131013	3	0	 
131015	1	0	 
131015	2	0	 
131015	3	1	1
131016	1	1	1
131016	2	0	 
131016	3	0	 
131017	1	1	1
131017	2	0	 
131017	3	0	 
131018	1	1	1
131018	2	1	1
131018	3	0	 
131020	1	1	1
131020	2	0	 
131020	3	0	 
131021	1	0	 
131021	2	1	1
131021	3	0	 
131022	1	0	 
131022	2	0	 
131022	3	1	1
131023	1	0	 
131023	2	1	1
131023	3	0	 
131024	1	1	1
131024	2	0	 
131024	3	0	 
131025	1	0	 
131025	2	1	1
131025	3	0	 
131026	1	1	1
131026	2	0	 
131026	3	0	 
131027	1	0	 
131027	2	0	 
131027	3	1	1
131028	1	1	1
131028	2	0	 
131028	3	0	 
131029	1	0	 
131029	2	0	 
131029	3	1	1
131030	1	0	 
131030	2	0	 
131030	3	0	 
131031	1	1	0
131031	2	0	 
131031	3	0	 
131032	1	1	1
131032	2	0	 
131032	3	0	 
131033	1	0	 
131033	2	1	1
131033	3	0	 
131034	1	0	 
131034	2	0	 
131034	3	1	1
131035	1	1	1
131035	2	0	 
131035	3	0	 
131036	1	1	1
131036	2	0	 
131036	3	0	 
131037	1	0	 
131037	2	0	 
131037	3	0	 
131038	1	1	1
131038	2	0	 
131038	3	1	1
131039	1	1	1
131039	2	0	 
131039	3	0	 
131040	1	0	 
131040	2	0	 
131040	3	1	1
131041	1	1	1
131041	2	0	 
131041	3	0	 
131042	1	1	1
131042	2	0	 
131042	3	0	 
131043	1	0	 
131043	2	1	1
131043	3	1	1
131044	1	0	 
131044	2	0	 
131044	3	0	 
131045	1	1	1
131045	2	0	 
131045	3	0	 
131046	1	0	 
131046	2	0	 
131046	3	1	1
131047	1	0	 
131047	2	1	1
131047	3	0	 
131048	1	0	 
131048	2	1	1
131048	3	0	 
131049	1	0	 
131049	2	1	0
131049	3	0	 
131050	1	0	 
131050	2	0	 
131050	3	0	 
141001	1	1	0
141001	2	0	 
141001	3	0	 
141002	1	0	 
141002	2	0	 
141002	3	0	 
141004	1	0	 
141004	2	0	 
141004	3	1	1
141005	1	0	 
141005	2	0	 
141005	3	0	 
141006	1	0	 
141006	2	0	 
141006	3	1	1
141007	1	0	 
141007	2	1	0
141007	3	0	 
141008	1	0	 
141008	2	0	 
141008	3	0	 
141009	1	0	 
141009	2	0	 
141009	3	1	1
141010	1	0	 
141010	2	0	 
141010	3	1	0
141011	1	0	 
141011	2	0	 
141011	3	0	 
141012	1	0	 
141012	2	0	 
141012	3	0	 
141013	1	0	 
141013	2	0	 
141013	3	0	 
141014	1	0	 
141014	2	0	 
141014	3	0	 
141015	1	0	 
141015	2	0	 
141015	3	1	1
141016	1	0	 
141016	2	0	 
141016	3	0	 
141017	1	0	 
141017	2	0	 
141017	3	0	 
141018	1	0	 
141018	2	0	 
141018	3	0	 
141019	1	0	 
141019	2	0	 
141019	3	0	 
141020	1	0	 
141020	2	1	1
141020	3	0	 
141021	1	0	 
141021	2	0	 
141021	3	0	 
141022	1	0	 
141022	2	0	 
141022	3	0	 
141023	1	0	 
141023	2	0	 
141023	3	0	 
141024	1	0	 
141024	2	0	 
141024	3	0	 
141025	1	0	 
141025	2	0	 
141025	3	0	 
141026	1	0	 
141026	2	1	0
141026	3	1	0
141028	1	0	 
141028	2	1	1
141028	3	1	0
141029	1	0	 
141029	2	1	1
141029	3	0	 
141030	1	0	 
141030	2	1	1
141030	3	1	1
141031	1	0	 
141031	2	1	0
141031	3	0	 
141032	1	0	 
141032	2	0	 
141032	3	0	 
141033	1	0	 
141033	2	0	 
141033	3	1	1
141034	1	0	 
141034	2	1	1
141034	3	0	 
141035	1	0	 
141035	2	0	 
141035	3	0	 
141036	1	0	 
141036	2	0	 
141036	3	0	 
141037	1	0	 
141037	2	0	 
141037	3	0	 
141038	1	0	 
141038	2	0	 
141038	3	0	 
141039	1	0	 
141039	2	0	 
141039	3	1	0
141040	1	0	 
141040	2	1	1
141040	3	0	 
141041	1	0	 
141041	2	1	1
141041	3	1	1
141042	1	0	 
141042	2	0	 
141042	3	1	1
141044	1	0	 
141044	2	0	 
141044	3	1	1
141045	1	0	 
141045	2	0	 
141045	3	0	 
141046	1	0	 
141046	2	1	1
141046	3	0	 
141047	1	0	 
141047	2	0	 
141047	3	0	 
141048	1	0	 
141048	2	1	1
141048	3	0	 
141049	1	0	 
141049	2	0	 
141049	3	1	0
151001	1	1	1
151001	2	0	 
151001	3	1	1
151002	1	0	 
151002	2	0	 
151002	3	0	 
151004	1	1	1
151004	2	0	 
151004	3	0	 
151005	1	1	1
151005	2	1	0
151005	3	0	 
151008	1	1	0
151008	2	0	 
151008	3	1	1
151009	1	1	0
151009	2	0	 
151009	3	1	0
151010	1	1	0
151010	2	0	 
151010	3	0	 
151011	1	1	1
151011	2	0	 
151011	3	0	 
151012	1	1	1
151012	2	0	 
151012	3	0	 
151014	1	0	 
151014	2	0	 
151014	3	0	 
151015	1	1	1
151015	2	0	 
151015	3	0	 
151016	1	0	 
151016	2	0	 
151016	3	1	0
151018	1	0	 
151018	2	0	 
151018	3	1	1
151019	1	1	0
151019	2	0	 
151019	3	0	 
151020	1	1	1
151020	2	0	 
151020	3	1	1
151021	1	1	1
151021	2	1	1
151021	3	1	0
151023	1	1	0
151023	2	1	0
151023	3	1	0
151024	1	0	 
151024	2	0	 
151024	3	0	 
151025	1	1	1
151025	2	0	 
151025	3	0	 
151026	1	1	1
151026	2	1	0
151026	3	0	 
151027	1	0	 
151027	2	0	 
151027	3	0	 
151028	1	0	 
151028	2	0	 
151028	3	1	1
151029	1	0	 
151029	2	0	 
151029	3	0	 
151030	1	1	0
151030	2	0	 
151030	3	0	 
151031	1	1	1
151031	2	0	 
151031	3	0	 
151032	1	1	1
151032	2	0	 
151032	3	0	 
151033	1	0	 
151033	2	0	 
151033	3	0	 
151034	1	0	 
151034	2	0	 
151034	3	0	 
151035	1	0	 
151035	2	0	 
151035	3	1	0
151039	1	0	 
151039	2	0	 
151039	3	0	 
151041	1	1	1
151041	2	0	 
151041	3	0	 
151042	1	1	1
151042	2	0	 
151042	3	1	1
151043	1	1	1
151043	2	0	 
151043	3	0	 
151044	1	1	0
151044	2	0	 
151044	3	0	 
151045	1	1	1
151045	2	1	0
151045	3	0	 
151049	1	0	 
151049	2	0	 
151049	3	0	 
151051	1	0	 
151051	2	0	 
151051	3	0	 
151052	1	0	 
151052	2	0	 
151052	3	0	 
151053	1	0	 
151053	2	0	 
151053	3	0	 
151054	1	1	1
151054	2	0	 
151054	3	0	 
151056	1	1	1
151056	2	0	 
151056	3	0	 
151057	1	1	0
151057	2	1	0
151057	3	0	 
151059	1	1	1
151059	2	1	0
151059	3	1	1
151064	1	1	1
151064	2	0	 
151064	3	0	 
151066	1	0	 
151066	2	0	 
151066	3	1	1
151067	1	1	1
151067	2	0	 
151067	3	0	 
151068	1	1	1
151068	2	1	0
151068	3	0	 
151069	1	1	1
151069	2	0	 
151069	3	0	 
151070	1	1	1
151070	2	0	 
151070	3	1	0
161002	1	1	1
161002	2	0	 
161002	3	0	 
161003	1	1	0
161003	2	1	1
161003	3	0	 
161005	1	1	0
161005	2	0	 
161005	3	1	1
161006	1	1	1
161006	2	1	1
161006	3	0	 
161007	1	1	1
161007	2	0	 
161007	3	0	 
161008	1	1	1
161008	2	1	1
161008	3	0	 
161009	1	1	1
161009	2	0	 
161009	3	0	 
161010	1	1	1
161010	2	1	0
161010	3	0	 
161011	1	1	1
161011	2	1	0
161011	3	0	 
161016	1	1	1
161016	2	0	 
161016	3	0	 
161017	1	0	 
161017	2	1	1
161017	3	0	 
161018	1	1	1
161018	2	1	0
161018	3	0	 
161019	1	1	1
161019	2	0	 
161019	3	0	 
161021	1	0	 
161021	2	1	1
161021	3	1	0
161022	1	1	1
161022	2	0	 
161022	3	0	 
161023	1	1	1
161023	2	0	 
161023	3	0	 
161024	1	1	1
161024	2	0	 
161024	3	0	 
161025	1	1	1
161025	2	1	0
161025	3	0	 
161026	1	1	1
161026	2	1	0
161026	3	0	 
161029	1	1	1
161029	2	0	 
161029	3	0	 
161030	1	1	1
161030	2	0	 
161030	3	0	 
161031	1	1	1
161031	2	0	 
161031	3	0	 
161032	1	1	1
161032	2	0	 
161032	3	0	 
161033	1	0	 
161033	2	1	1
161033	3	0	 
161034	1	1	1
161034	2	0	 
161034	3	0	 
161035	1	1	1
161035	2	1	1
161035	3	1	1
161036	1	1	1
161036	2	1	1
161036	3	0	 
161037	1	1	1
161037	2	0	 
161037	3	0	 
161038	1	1	1
161038	2	0	 
161038	3	0	 
161039	1	1	1
161039	2	0	 
161039	3	0	 
161040	1	0	 
161040	2	1	1
161040	3	0	 
161041	1	1	1
161041	2	0	 
161041	3	0	 
161042	1	1	1
161042	2	0	 
161042	3	0	 
161043	1	1	1
161043	2	0	 
161043	3	0	 
161044	1	1	1
161044	2	0	 
161044	3	0	 
161046	1	1	1
161046	2	0	 
161046	3	0	 
161047	1	1	1
161047	2	0	 
161047	3	1	0
161048	1	1	1
161048	2	1	1
161048	3	0	 
161049	1	1	1
161049	2	0	 
161049	3	0	 
161050	1	1	1
161050	2	0	 
161050	3	0	 
171001	1	0	 
171001	2	1	1
171001	3	0	 
171002	1	0	 
171002	2	1	0
171002	3	0	 
171003	1	1	0
171003	2	0	 
171003	3	1	0
171005	1	0	 
171005	2	0	 
171005	3	0	 
171006	1	0	 
171006	2	0	 
171006	3	0	 
171007	1	1	1
171007	2	0	 
171007	3	1	0
171008	1	1	1
171008	2	0	 
171008	3	1	0
171010	1	0	 
171010	2	0	 
171010	3	0	 
171011	1	0	 
171011	2	0	 
171011	3	0	 
171012	1	1	1
171012	2	1	0
171012	3	1	0
171014	1	0	 
171014	2	0	 
171014	3	0	 
171015	1	0	 
171015	2	0	 
171015	3	0	 
171016	1	0	 
171016	2	0	 
171016	3	0	 
171017	1	0	 
171017	2	0	 
171017	3	1	0
171018	1	1	1
171018	2	0	 
171018	3	0	 
171019	1	0	 
171019	2	0	 
171019	3	0	 
171020	1	1	1
171020	2	0	 
171020	3	1	0
171021	1	1	1
171021	2	0	 
171021	3	1	0
171022	1	1	1
171022	2	0	 
171022	3	1	0
171023	1	1	1
171023	2	0	 
171023	3	0	 
171024	1	1	0
171024	2	0	 
171024	3	0	 
171025	1	1	0
171025	2	0	 
171025	3	0	 
171026	1	1	0
171026	2	0	 
171026	3	0	 
171027	1	0	 
171027	2	0	 
171027	3	0	 
171028	1	1	0
171028	2	0	 
171028	3	0	 
171029	1	1	1
171029	2	0	 
171029	3	1	0
171030	1	1	1
171030	2	0	 
171030	3	0	 
171031	1	0	 
171031	2	1	1
171031	3	0	 
171032	1	1	1
171032	2	0	 
171032	3	1	1
171033	1	0	 
171033	2	1	0
171033	3	0	 
171034	1	0	 
171034	2	1	1
171034	3	0	 
171035	1	0	 
171035	2	1	1
171035	3	0	 
171036	1	0	 
171036	2	1	1
171036	3	0	 
171037	1	0	 
171037	2	1	0
171037	3	0	 
171038	1	0	 
171038	2	0	 
171038	3	0	 
171039	1	1	0
171039	2	0	 
171039	3	1	0
171040	1	1	1
171040	2	0	 
171040	3	1	0
171041	1	0	 
171041	2	0	 
171041	3	0	 
171042	1	1	1
171042	2	0	 
171042	3	0	 
171043	1	0	 
171043	2	1	1
171043	3	0	 
171044	1	1	0
171044	2	0	 
171044	3	1	0
171045	1	1	1
171045	2	0	 
171045	3	0	 
171046	1	1	1
171046	2	0	 
171046	3	1	0
171047	1	1	1
171047	2	0	 
171047	3	0	 
171048	1	1	1
171048	2	0	 
171048	3	0	 
171049	1	0	 
171049	2	0	 
171049	3	0	 
171050	1	0	 
171050	2	0	 
171050	3	0	 
181001	1	1	0
181001	2	1	1
181001	3	0	 
181002	1	1	1
181002	2	1	1
181002	3	0	 
181003	1	1	1
181003	2	0	 
181003	3	0	 
181004	1	1	0
181004	2	0	 
181004	3	1	0
181005	1	0	 
181005	2	0	 
181005	3	0	 
181006	1	0	 
181006	2	0	 
181006	3	1	1
181007	1	1	1
181007	2	0	 
181007	3	0	 
181008	1	1	0
181008	2	0	 
181008	3	1	1
181009	1	1	0
181009	2	0	 
181009	3	0	 
181010	1	1	1
181010	2	0	 
181010	3	1	1
181011	1	0	 
181011	2	0	 
181011	3	1	1
181012	1	0	 
181012	2	0	 
181012	3	1	1
181013	1	1	1
181013	2	1	0
181013	3	0	 
181014	1	0	 
181014	2	1	1
181014	3	1	1
181015	1	1	1
181015	2	1	0
181015	3	1	0
181016	1	1	1
181016	2	0	 
181016	3	0	 
181017	1	1	1
181017	2	0	 
181017	3	0	 
181018	1	1	1
181018	2	0	 
181018	3	0	 
181019	1	1	1
181019	2	0	 
181019	3	1	0
181020	1	1	0
181020	2	0	 
181020	3	0	 
181021	1	1	0
181021	2	1	1
181021	3	0	 
181022	1	1	1
181022	2	0	 
181022	3	0	 
181023	1	1	0
181023	2	1	1
181023	3	0	 
181024	1	0	 
181024	2	0	 
181024	3	1	1
181025	1	0	 
181025	2	1	1
181025	3	0	 
181026	1	0	 
181026	2	0	 
181026	3	0	 
181027	1	1	1
181027	2	0	 
181027	3	0	 
181028	1	1	1
181028	2	0	 
181028	3	0	 
181029	1	1	1
181029	2	0	 
181029	3	0	 
181030	1	1	0
181030	2	1	0
181030	3	0	 
181031	1	1	1
181031	2	0	 
181031	3	0	 
181032	1	0	 
181032	2	1	1
181032	3	0	 
181033	1	1	1
181033	2	0	 
181033	3	0	 
181034	1	1	1
181034	2	0	 
181034	3	0	 
181035	1	0	 
181035	2	1	1
181035	3	0	 
181036	1	1	1
181036	2	0	 
181036	3	0	 
181037	1	1	1
181037	2	0	 
181037	3	0	 
181038	1	1	0
181038	2	0	 
181038	3	0	 
181039	1	1	0
181039	2	0	 
181039	3	0	 
181040	1	1	0
181040	2	1	0
181040	3	0	 
181041	1	1	1
181041	2	1	0
181041	3	0	 
181042	1	0	 
181042	2	0	 
181042	3	1	1
181043	1	0	 
181043	2	0	 
181043	3	0	 
181045	1	1	1
181045	2	0	 
181045	3	0	 
181046	1	0	 
181046	2	1	1
181046	3	0	 
181047	1	1	1
181047	2	0	 
181047	3	0	 
181048	1	1	0
181048	2	1	1
181048	3	0	 
181049	1	0	 
181049	2	0	 
181049	3	1	0
181050	1	1	1
181050	2	0	 
181050	3	0	 
191001	1	0	 
191001	2	0	 
191001	3	1	1
191002	1	0	 
191002	2	0	 
191002	3	1	0
191003	1	0	 
191003	2	0	 
191003	3	0	 
191004	1	0	 
191004	2	1	1
191004	3	0	 
191005	1	0	 
191005	2	0	 
191005	3	1	1
191006	1	0	 
191006	2	0	 
191006	3	0	 
191007	1	0	 
191007	2	0	 
191007	3	0	 
191008	1	0	 
191008	2	1	0
191008	3	0	 
191009	1	0	 
191009	2	0	 
191009	3	1	1
191010	1	0	 
191010	2	0	 
191010	3	0	 
191011	1	0	 
191011	2	0	 
191011	3	1	1
191012	1	0	 
191012	2	0	 
191012	3	0	 
191013	1	0	 
191013	2	1	1
191013	3	0	 
191014	1	0	 
191014	2	1	0
191014	3	0	 
191015	1	0	 
191015	2	0	 
191015	3	0	 
191016	1	1	1
191016	2	0	 
191016	3	0	 
191017	1	0	 
191017	2	0	 
191017	3	1	1
191018	1	1	0
191018	2	0	 
191018	3	1	1
191019	1	0	 
191019	2	1	1
191019	3	0	 
191020	1	0	 
191020	2	0	 
191020	3	1	1
191021	1	0	 
191021	2	0	 
191021	3	0	 
191022	1	0	 
191022	2	0	 
191022	3	0	 
191023	1	0	 
191023	2	0	 
191023	3	1	1
191024	1	1	0
191024	2	0	 
191024	3	1	1
191025	1	1	1
191025	2	0	 
191025	3	0	 
191026	1	0	 
191026	2	0	 
191026	3	1	1
191027	1	0	 
191027	2	1	1
191027	3	0	 
191028	1	0	 
191028	2	0	 
191028	3	0	 
191029	1	0	 
191029	2	0	 
191029	3	1	1
191031	1	0	 
191031	2	1	1
191031	3	0	 
191032	1	1	1
191032	2	0	 
191032	3	1	1
191033	1	0	 
191033	2	0	 
191033	3	0	 
191034	1	0	 
191034	2	0	 
191034	3	1	0
191035	1	0	 
191035	2	1	1
191035	3	0	 
191036	1	0	 
191036	2	1	0
191036	3	1	0
191037	1	0	 
191037	2	0	 
191037	3	1	1
191038	1	0	 
191038	2	0	 
191038	3	0	 
191039	1	0	 
191039	2	0	 
191039	3	1	1
191040	1	0	 
191040	2	1	1
191040	3	0	 
191041	1	0	 
191041	2	0	 
191041	3	1	0
191042	1	1	1
191042	2	0	 
191042	3	0	 
191043	1	0	 
191043	2	1	0
191043	3	0	 
191044	1	0	 
191044	2	0	 
191044	3	0	 
191045	1	0	 
191045	2	0	 
191045	3	1	1
191046	1	0	 
191046	2	0	 
191046	3	0	 
191048	1	0	 
191048	2	0	 
191048	3	1	0
191049	1	0	 
191049	2	0	 
191049	3	1	0
191050	1	0	 
191050	2	0	 
191050	3	1	0
191051	1	0	 
191051	2	0	 
191051	3	0	 
201001	1	0	 
201001	2	1	0
201001	3	1	1
201002	1	1	1
201002	2	0	 
201002	3	0	 
201003	1	0	 
201003	2	0	 
201003	3	0	 
201004	1	1	0
201004	2	0	 
201004	3	0	 
201005	1	0	 
201005	2	0	 
201005	3	1	1
201006	1	1	0
201006	2	0	 
201006	3	0	 
201007	1	1	1
201007	2	0	 
201007	3	0	 
201008	1	1	1
201008	2	0	 
201008	3	0	 
201009	1	1	0
201009	2	1	1
201009	3	0	 
201010	1	1	1
201010	2	1	1
201010	3	0	 
201011	1	1	0
201011	2	1	0
201011	3	0	 
201012	1	0	 
201012	2	1	1
201012	3	0	 
201013	1	1	1
201013	2	1	0
201013	3	0	 
201014	1	1	1
201014	2	1	0
201014	3	0	 
201015	1	0	 
201015	2	0	 
201015	3	0	 
201016	1	1	1
201016	2	0	 
201016	3	0	 
201017	1	0	 
201017	2	0	 
201017	3	0	 
201018	1	1	1
201018	2	0	 
201018	3	1	0
201019	1	1	1
201019	2	0	 
201019	3	1	0
201020	1	0	 
201020	2	1	1
201020	3	0	 
201021	1	1	1
201021	2	1	1
201021	3	0	 
201022	1	0	 
201022	2	0	 
201022	3	1	0
201023	1	1	1
201023	2	0	 
201023	3	0	 
201024	1	0	 
201024	2	1	1
201024	3	0	 
201025	1	1	0
201025	2	0	 
201025	3	0	 
201026	1	1	1
201026	2	0	 
201026	3	0	 
201027	1	0	 
201027	2	0	 
201027	3	0	 
201028	1	1	1
201028	2	0	 
201028	3	0	 
201029	1	1	1
201029	2	0	 
201029	3	1	1
201030	1	1	0
201030	2	0	 
201030	3	0	 
201031	1	0	 
201031	2	0	 
201031	3	0	 
201032	1	1	1
201032	2	0	 
201032	3	0	 
201035	1	1	0
201035	2	0	 
201035	3	0	 
201036	1	1	0
201036	2	0	 
201036	3	0	 
201037	1	0	 
201037	2	1	0
201037	3	0	 
201038	1	1	0
201038	2	0	 
201038	3	0	 
201039	1	0	 
201039	2	0	 
201039	3	0	 
201040	1	0	 
201040	2	0	 
201040	3	0	 
201042	1	1	1
201042	2	0	 
201042	3	0	 
201043	1	0	 
201043	2	1	1
201043	3	0	 
201044	1	0	 
201044	2	1	0
201044	3	0	 
201045	1	0	 
201045	2	1	1
201045	3	0	 
201046	1	1	1
201046	2	0	 
201046	3	0	 
201047	1	1	1
201047	2	0	 
201047	3	0	 
201049	1	0	 
201049	2	0	 
201049	3	0	 
201050	1	1	0
201050	2	0	 
201050	3	0	 
