CHILDCODE	LANDIDR5	TOTLNDR5	LUPLTAR5	PLTUSAR5	PRIRRR5	TOTINDR5	LUPLTNR5	USEINDR5
50093	3	0	 	 	 	0	 	 
50093	4	2	4	5	5	 	 	 
50093	5	0	 	 	 	0	 	 
50094	1	2	4	5	5	1	4	1
50094	2	0	 	 	 	0	 	 
50094	3	0	 	 	 	0	 	 
50094	4	0	 	 	 	 	 	 
50094	5	0	 	 	 	0	 	 
50095	1	3	4	5	5	25	17	1
50095	2	0	 	 	 	0	 	 
50095	3	0	 	 	 	0	 	 
50095	4	0	 	 	 	 	 	 
50095	5	0	 	 	 	0	 	 
50096	1	5	4	5	5	150	17	1
50096	2	0	 	 	 	0	 	 
50096	3	0	 	 	 	0	 	 
50096	4	1	4	5	5	 	 	 
50096	5	0	 	 	 	0	 	 
50097	1	4	4	5	5	600	17	1
50097	2	0	 	 	 	0	 	 
50097	3	0	 	 	 	0	 	 
50097	4	3	4	5	5	 	 	 
50097	5	0	 	 	 	0	 	 
50098	1	1	4	5	5	100	17	1
50098	2	0	 	 	 	0	 	 
50098	3	0	 	 	 	0	 	 
50098	4	0	 	 	 	 	 	 
50098	5	0	 	 	 	0	 	 
50099	1	4	4	5	5	400	17	1
50099	2	0	 	 	 	0	 	 
50099	3	0	 	 	 	0	 	 
50099	4	4	4	5	5	 	 	 
50099	5	0	 	 	 	0	 	 
50100	1	2	4	5	5	.25	4	3
50100	2	0	 	 	 	0	 	 
50100	3	0	 	 	 	0	 	 
50100	4	0	 	 	 	 	 	 
50100	5	0	 	 	 	0	 	 
60002	1	4.5	4	5	5	.5	4	3
60002	2	0	 	 	 	0	 	 
60002	3	0	 	 	 	0	 	 
60002	4	6	4	5	5	 	 	 
60002	5	0	 	 	 	0	 	 
60003	1	2	4	5	5	.119999997317791	4	2
60003	2	0	 	 	 	0	 	 
60003	3	0	 	 	 	0	 	 
60003	4	0	 	 	 	 	 	 
60003	5	0	 	 	 	0	 	 
60004	1	12500	17	5	5	500	17	2
60004	2	0	 	 	 	0	 	 
60004	3	0	 	 	 	0	 	 
60004	4	0	 	 	 	 	 	 
60004	5	0	 	 	 	0	 	 
60005	1	2	4	5	1	0	 	 
60005	2	0	 	 	 	50	17	2
60005	3	0	 	 	 	0	 	 
60005	4	2	4	5	5	 	 	 
60005	5	0	 	 	 	0	 	 
60007	1	6	4	5	4	.5	4	3
60007	2	0	 	 	 	0	 	 
60007	3	0	 	 	 	0	 	 
60007	4	0	 	 	 	 	 	 
60007	5	0	 	 	 	0	 	 
60008	1	5000	17	5	5	500	17	2
60008	2	0	 	 	 	0	 	 
60008	3	15000	17	5	5	0	 	 
60008	4	0	 	 	 	 	 	 
60008	5	0	 	 	 	0	 	 
60009	1	5.25	4	5	5	.5	4	3
60009	2	0	 	 	 	0	 	 
60009	3	0	 	 	 	0	 	 
60009	4	1.5	4	5	1	 	 	 
60009	5	0	 	 	 	0	 	 
60010	1	4	4	5	2	1	4	3
60010	2	0	 	 	 	0	 	 
60010	3	0	 	 	 	0	 	 
60010	4	1	4	5	2	 	 	 
60010	5	0	 	 	 	0	 	 
60011	1	4.5	4	5	1	120	17	1
60011	2	0	 	 	 	0	 	 
60011	3	0	 	 	 	0	 	 
60011	4	0	 	 	 	 	 	 
60011	5	0	 	 	 	0	 	 
60012	1	3	4	14	5	2	4	3
60012	2	0	 	 	 	0	 	 
60012	3	0	 	 	 	0	 	 
60012	4	0	 	 	 	 	 	 
60012	5	0	 	 	 	0	 	 
60013	1	3.5	4	5	1	.119999997317791	4	1
60013	2	0	 	 	 	0	 	 
60013	3	0	 	 	 	0	 	 
60013	4	0	 	 	 	 	 	 
60013	5	0	 	 	 	0	 	 
60014	1	7500	17	5	1	400	17	2
60014	2	0	 	 	 	0	 	 
60014	3	5000	17	5	5	0	 	 
60014	4	0	 	 	 	 	 	 
60014	5	0	 	 	 	0	 	 
60016	1	2	4	5	1	1	4	3
60016	2	0	 	 	 	0	 	 
60016	3	0	 	 	 	0	 	 
60016	4	3.5	4	5	1	 	 	 
60016	5	0	 	 	 	0	 	 
60017	1	9.5	4	5	5	1.25	4	3
60017	2	0	 	 	 	0	 	 
60017	3	0	 	 	 	0	 	 
60017	4	1000	17	5	4	 	 	 
60017	5	0	 	 	 	0	 	 
60018	1	12500	17	5	5	500	17	2
60018	2	0	 	 	 	0	 	 
60018	3	15000	17	5	5	0	 	 
60018	4	0	 	 	 	 	 	 
60018	5	0	 	 	 	0	 	 
60019	1	3	4	5	1	1000	17	3
60019	2	0	 	 	 	0	 	 
60019	3	0	 	 	 	0	 	 
60019	4	1	4	5	5	 	 	 
60019	5	0	 	 	 	0	 	 
60020	1	6	4	5	1	1.5	4	3
60020	2	0	 	 	 	0	 	 
60020	3	0	 	 	 	0	 	 
60020	4	2	4	5	5	 	 	 
60020	5	0	 	 	 	0	 	 
60021	1	5000	17	5	5	500	17	2
60021	2	0	 	 	 	0	 	 
60021	3	7500	17	5	5	0	 	 
60021	4	0	 	 	 	 	 	 
60021	5	0	 	 	 	0	 	 
60022	1	3	4	5	1	1	4	2
60022	2	0	 	 	 	0	 	 
60022	3	0	 	 	 	0	 	 
60022	4	0	 	 	 	 	 	 
60022	5	0	 	 	 	0	 	 
60023	1	5000	17	5	5	200	17	1
60023	2	0	 	 	 	0	 	 
60023	3	0	 	 	 	0	 	 
60023	4	0	 	 	 	 	 	 
60023	5	0	 	 	 	0	 	 
60024	1	12500	17	5	5	500	17	2
60024	2	0	 	 	 	0	 	 
60024	3	5000	17	5	5	0	 	 
60024	4	0	 	 	 	 	 	 
60024	5	0	 	 	 	0	 	 
60025	1	3.5	4	5	5	16	17	1
60025	2	0	 	 	 	0	 	 
60025	3	0	 	 	 	0	 	 
60025	4	0	 	 	 	 	 	 
60025	5	0	 	 	 	0	 	 
60026	1	4	4	5	1	1	4	3
60026	2	0	 	 	 	0	 	 
60026	3	0	 	 	 	0	 	 
60026	4	1	4	5	5	 	 	 
60026	5	0	 	 	 	0	 	 
60027	1	10000	17	5	5	250	17	1
60027	2	0	 	 	 	0	 	 
60027	3	0	 	 	 	0	 	 
60027	4	0	 	 	 	 	 	 
60027	5	0	 	 	 	0	 	 
60028	1	6	4	5	5	1	4	3
60028	2	0	 	 	 	0	 	 
60028	3	0	 	 	 	0	 	 
60028	4	0	 	 	 	 	 	 
60028	5	0	 	 	 	0	 	 
60029	1	2500	17	6	5	200	17	1
60029	2	0	 	 	 	0	 	 
60029	3	0	 	 	 	0	 	 
60029	4	0	 	 	 	 	 	 
60029	5	0	 	 	 	0	 	 
60030	1	4	4	5	5	1000	17	3
60030	2	0	 	 	 	0	 	 
60030	3	0	 	 	 	0	 	 
60030	4	0	 	 	 	 	 	 
60030	5	0	 	 	 	0	 	 
60031	1	4	4	5	5	.75	4	3
60031	2	0	 	 	 	0	 	 
60031	3	0	 	 	 	0	 	 
60031	4	1	4	5	5	 	 	 
60031	5	0	 	 	 	0	 	 
60032	1	4.5	4	5	5	1000	17	2
60032	2	0	 	 	 	0	 	 
60032	3	0	 	 	 	0	 	 
60032	4	3	4	5	5	 	 	 
60032	5	0	 	 	 	0	 	 
60033	1	3	4	5	5	1000	17	3
60033	2	0	 	 	 	0	 	 
60033	3	0	 	 	 	0	 	 
60033	4	2	4	5	5	 	 	 
60033	5	0	 	 	 	0	 	 
60034	1	4	4	5	1	.25	4	3
60034	2	0	 	 	 	0	 	 
60034	3	0	 	 	 	0	 	 
60034	4	3	4	5	5	 	 	 
60034	5	0	 	 	 	0	 	 
60035	1	6	4	5	1	1	4	2
60035	2	0	 	 	 	0	 	 
60035	3	0	 	 	 	0	 	 
60035	4	0	 	 	 	 	 	 
60035	5	0	 	 	 	0	 	 
60037	1	3	4	5	1	1.75	4	3
60037	2	0	 	 	 	0	 	 
60037	3	0	 	 	 	0	 	 
60037	4	3	4	5	5	 	 	 
60037	5	0	 	 	 	0	 	 
60038	1	4	4	5	5	1	4	3
60038	2	0	 	 	 	0	 	 
60038	3	0	 	 	 	0	 	 
60038	4	2	4	5	1	 	 	 
60038	5	0	 	 	 	0	 	 
60039	1	12500	17	5	1	500	17	2
60039	2	0	 	 	 	0	 	 
60039	3	2500	17	5	5	0	 	 
60039	4	0	 	 	 	 	 	 
60039	5	0	 	 	 	0	 	 
60040	1	2	4	5	5	.5	4	2
60040	2	0	 	 	 	0	 	 
60040	3	0	 	 	 	0	 	 
60040	4	0	 	 	 	 	 	 
60040	5	0	 	 	 	0	 	 
60041	1	20000	17	5	5	1000	17	3
60041	2	0	 	 	 	0	 	 
60041	3	0	 	 	 	0	 	 
60041	4	0	 	 	 	 	 	 
60041	5	0	 	 	 	0	 	 
60042	1	3	4	5	1	1	4	3
60042	2	0	 	 	 	0	 	 
60042	3	0	 	 	 	0	 	 
60042	4	3	4	5	5	 	 	 
60042	5	0	 	 	 	0	 	 
60043	1	1.5	4	5	1	.5	4	3
60043	2	0	 	 	 	0	 	 
60043	3	0	 	 	 	0	 	 
60043	4	2	4	5	5	 	 	 
60043	5	.119999997317791	4	6	5	0	 	 
60045	1	4	4	5	5	.129999995231628	4	2
60045	2	0	 	 	 	0	 	 
60045	3	0	 	 	 	0	 	 
60045	4	1	4	5	5	 	 	 
60045	5	0	 	 	 	1	4	2
60046	1	7	4	5	5	200	17	2
60046	2	0	 	 	 	0	 	 
60046	3	0	 	 	 	0	 	 
60046	4	2	4	5	1	 	 	 
60046	5	0	 	 	 	0	 	 
60047	1	5000	17	5	5	500	17	2
60047	2	0	 	 	 	0	 	 
60047	3	5000	17	5	5	0	 	 
60047	4	0	 	 	 	 	 	 
60047	5	0	 	 	 	0	 	 
60048	1	5000	17	5	5	250	17	1
60048	2	0	 	 	 	0	 	 
60048	3	0	 	 	 	0	 	 
60048	4	0	 	 	 	 	 	 
60048	5	0	 	 	 	0	 	 
60049	1	15000	17	5	1	500	17	2
60049	2	0	 	 	 	0	 	 
60049	3	0	 	 	 	0	 	 
60049	4	0	 	 	 	 	 	 
60049	5	0	 	 	 	0	 	 
60050	1	2	4	5	1	1000	17	3
60050	2	0	 	 	 	0	 	 
60050	3	0	 	 	 	0	 	 
60050	4	0	 	 	 	 	 	 
60050	5	0	 	 	 	0	 	 
60051	1	0	 	 	 	0	 	 
60051	2	1	4	5	5	.119999997317791	4	1
60051	3	0	 	 	 	0	 	 
60051	4	7	4	5	5	 	 	 
60051	5	0	 	 	 	0	 	 
60053	1	 	 	 	 	 	 	 
60053	2	 	 	 	 	 	 	 
60053	3	 	 	 	 	 	 	 
60053	4	 	 	 	 	 	 	 
60053	5	 	 	 	 	 	 	 
60054	1	4	4	5	1	1	4	3
60054	2	0	 	 	 	0	 	 
60054	3	0	 	 	 	0	 	 
60054	4	3	4	5	1	 	 	 
60054	5	0	 	 	 	0	 	 
60055	1	6	4	5	1	2	4	2
60055	2	0	 	 	 	0	 	 
60055	3	0	 	 	 	0	 	 
60055	4	0	 	 	 	 	 	 
60055	5	0	 	 	 	0	 	 
60056	1	7	4	5	1	1	4	2
60056	2	0	 	 	 	0	 	 
60056	3	0	 	 	 	0	 	 
60056	4	0	 	 	 	 	 	 
60056	5	0	 	 	 	0	 	 
60058	1	 	 	 	 	0	 	 
60058	2	 	 	 	 	0	 	 
60058	3	 	 	 	 	16	17	1
60058	4	 	 	 	 	 	 	 
60058	5	 	 	 	 	0	 	 
60059	1	7500	17	5	5	250	17	2
60059	2	0	 	 	 	0	 	 
60059	3	2500	17	5	2	0	 	 
60059	4	0	 	 	 	 	 	 
60059	5	0	 	 	 	0	 	 
60060	1	10	4	5	1	1000	17	3
60060	2	0	 	 	 	0	 	 
60060	3	0	 	 	 	0	 	 
60060	4	.5	4	5	5	 	 	 
60060	5	0	 	 	 	0	 	 
60061	1	7	4	5	3	2	4	3
60061	2	0	 	 	 	0	 	 
60061	3	0	 	 	 	0	 	 
60061	4	0	 	 	 	 	 	 
60061	5	0	 	 	 	0	 	 
60062	1	4	4	5	1	1000	17	3
60062	2	0	 	 	 	0	 	 
60062	3	0	 	 	 	0	 	 
60062	4	2	4	5	5	 	 	 
60062	5	0	 	 	 	0	 	 
60063	1	10000	17	5	1	500	17	2
60063	2	0	 	 	 	0	 	 
60063	3	7500	17	5	5	0	 	 
60063	4	0	 	 	 	 	 	 
60063	5	0	 	 	 	0	 	 
60064	1	5	4	5	5	3	4	2
60064	2	0	 	 	 	0	 	 
60064	3	0	 	 	 	0	 	 
60064	4	0	 	 	 	 	 	 
60064	5	0	 	 	 	0	 	 
60065	1	5.5	4	5	5	.5	4	3
60065	2	0	 	 	 	0	 	 
60065	3	0	 	 	 	0	 	 
60065	4	1.5	4	5	1	 	 	 
60065	5	0	 	 	 	0	 	 
60066	1	5	4	5	1	1000	4	3
60066	2	0	 	 	 	0	 	 
60066	3	0	 	 	 	0	 	 
60066	4	0	 	 	 	 	 	 
60066	5	0	 	 	 	0	 	 
60067	1	500	17	5	5	500	17	2
60067	2	0	 	 	 	0	 	 
60067	3	10000	17	5	2	0	 	 
60067	4	0	 	 	 	 	 	 
60067	5	0	 	 	 	0	 	 
60068	1	7.5	4	5	1	1000	17	3
60068	2	0	 	 	 	0	 	 
60068	3	0	 	 	 	0	 	 
60068	4	1	4	5	5	 	 	 
60068	5	0	 	 	 	0	 	 
60071	1	4	4	5	5	1000	17	3
60071	2	0	 	 	 	0	 	 
60071	3	.5	4	5	4	0	 	 
60071	4	5.5	4	5	1	 	 	 
60071	5	0	 	 	 	0	 	 
60072	1	4.5	4	5	5	500	17	3
60072	2	0	 	 	 	0	 	 
60072	3	0	 	 	 	0	 	 
60072	4	.5	4	5	5	 	 	 
60072	5	0	 	 	 	0	 	 
60073	1	5000	17	5	5	200	17	1
60073	2	0	 	 	 	0	 	 
60073	3	0	 	 	 	0	 	 
60073	4	0	 	 	 	 	 	 
60073	5	0	 	 	 	0	 	 
60074	1	4	4	5	2	1	4	2
60074	2	0	 	 	 	0	 	 
60074	3	0	 	 	 	0	 	 
60074	4	0	 	 	 	 	 	 
60074	5	0	 	 	 	0	 	 
60075	1	17500	17	5	5	500	17	1
60075	2	0	 	 	 	0	 	 
60075	3	0	 	 	 	0	 	 
60075	4	0	 	 	 	 	 	 
60075	5	0	 	 	 	0	 	 
60076	1	4	4	5	5	.5	4	3
60076	2	0	 	 	 	0	 	 
60076	3	0	 	 	 	0	 	 
60076	4	0	 	 	 	 	 	 
60076	5	0	 	 	 	0	 	 
60077	1	4	4	5	1	1	4	3
60077	2	0	 	 	 	0	 	 
60077	3	0	 	 	 	0	 	 
60077	4	3	4	5	5	 	 	 
60077	5	0	 	 	 	0	 	 
60078	1	4	4	5	5	187.5	17	1
60078	2	0	 	 	 	0	 	 
60078	3	0	 	 	 	0	 	 
60078	4	0	 	 	 	 	 	 
60078	5	0	 	 	 	0	 	 
60080	1	3	4	5	5	1000	17	3
60080	2	0	 	 	 	0	 	 
60080	3	0	 	 	 	0	 	 
60080	4	0	 	 	 	 	 	 
60080	5	0	 	 	 	0	 	 
60081	1	12500	17	5	5	500	17	3
60081	2	0	 	 	 	0	 	 
60081	3	0	 	 	 	0	 	 
60081	4	0	 	 	 	 	 	 
60081	5	0	 	 	 	0	 	 
60082	1	5	4	5	5	1	4	2
60082	2	0	 	 	 	0	 	 
60082	3	0	 	 	 	0	 	 
60082	4	0	 	 	 	 	 	 
60082	5	0	 	 	 	0	 	 
60083	1	10000	17	5	5	250	17	1
60083	2	0	 	 	 	0	 	 
60083	3	7500	17	5	5	0	 	 
60083	4	0	 	 	 	 	 	 
60083	5	0	 	 	 	0	 	 
60084	1	6.5	4	5	5	1.75	4	3
60084	2	0	 	 	 	0	 	 
60084	3	0	 	 	 	0	 	 
60084	4	0	 	 	 	 	 	 
60084	5	0	 	 	 	0	 	 
60085	1	10000	17	5	5	500	17	2
60085	2	0	 	 	 	0	 	 
60085	3	5000	17	5	5	0	 	 
60085	4	0	 	 	 	 	 	 
60085	5	0	 	 	 	0	 	 
60086	1	5	4	5	5	0	 	 
60086	2	0	 	 	 	0	 	 
60086	3	0	 	 	 	120	17	1
60086	4	0	 	 	 	 	 	 
60086	5	0	 	 	 	0	 	 
60087	1	3.5	4	5	2	.5	4	3
60087	2	0	 	 	 	0	 	 
60087	3	0	 	 	 	0	 	 
60087	4	2.5	4	5	5	 	 	 
60087	5	0	 	 	 	0	 	 
60088	1	12	4	5	5	1.5	4	3
60088	2	0	 	 	 	0	 	 
60088	3	0	 	 	 	0	 	 
60088	4	4	4	5	5	 	 	 
60088	5	0	 	 	 	0	 	 
60089	1	10000	17	5	1	500	17	2
60089	2	0	 	 	 	0	 	 
60089	3	0	 	 	 	0	 	 
60089	4	0	 	 	 	 	 	 
60089	5	0	 	 	 	0	 	 
60091	1	3	4	5	5	1	4	2
60091	2	0	 	 	 	0	 	 
60091	3	0	 	 	 	0	 	 
60091	4	3	4	5	5	 	 	 
60091	5	0	 	 	 	0	 	 
60092	1	4	4	5	1	500	4	1
60092	2	0	 	 	 	0	 	 
60092	3	0	 	 	 	0	 	 
60092	4	0	 	 	 	 	 	 
60092	5	0	 	 	 	0	 	 
60093	1	4	4	5	5	1000	17	2
60093	2	0	 	 	 	0	 	 
60093	3	0	 	 	 	0	 	 
60093	4	0	 	 	 	 	 	 
60093	5	0	 	 	 	0	 	 
60094	1	6	4	5	5	68	17	3
60094	2	0	 	 	 	0	 	 
60094	3	0	 	 	 	0	 	 
60094	4	0	 	 	 	 	 	 
60094	5	0	 	 	 	0	 	 
60095	1	5000	17	5	5	500	17	1
60095	2	0	 	 	 	0	 	 
60095	3	0	 	 	 	0	 	 
60095	4	0	 	 	 	 	 	 
60095	5	0	 	 	 	0	 	 
60096	1	5.5	4	5	5	.5	4	3
60096	2	0	 	 	 	0	 	 
60096	3	.25	4	5	4	0	 	 
60096	4	.5	4	5	5	 	 	 
60096	5	0	 	 	 	0	 	 
60097	1	15000	17	5	1	400	17	2
60097	2	0	 	 	 	0	 	 
60097	3	5000	17	5	5	0	 	 
60097	4	0	 	 	 	 	 	 
60097	5	0	 	 	 	0	 	 
60098	1	17500	17	5	1	5000	17	2
60098	2	0	 	 	 	0	 	 
60098	3	0	 	 	 	0	 	 
60098	4	0	 	 	 	 	 	 
60098	5	0	 	 	 	0	 	 
60100	1	0	 	 	 	250	17	1
60100	2	0	 	 	 	0	 	 
60100	3	3	2	5	5	0	 	 
60100	4	0	 	 	 	 	 	 
60100	5	0	 	 	 	0	 	 
70001	1	0	 	 	 	5000	17	3
70001	2	2	5	5	5	0	 	 
70001	3	0	 	 	 	0	 	 
70001	4	1	4	5	5	 	 	 
70001	5	0	 	 	 	0	 	 
70002	1	2.5	4	5	5	1000	17	2
70002	2	0	 	 	 	0	 	 
70002	3	0	 	 	 	0	 	 
70002	4	0	 	 	 	 	 	 
70002	5	0	 	 	 	0	 	 
70003	1	5	4	10	5	1000	17	2
70003	2	0	 	 	 	0	 	 
70003	3	0	 	 	 	0	 	 
70003	4	0	 	 	 	 	 	 
70003	5	.25	4	6	5	0	 	 
70004	1	2.5	4	5	5	1000	17	3
70004	2	0	 	 	 	0	 	 
70004	3	0	 	 	 	0	 	 
70004	4	2	4	5	5	 	 	 
70004	5	.25	4	6	5	0	 	 
70005	1	0	 	 	 	0	 	 
70005	2	1	4	5	5	.25	4	1
70005	3	0	 	 	 	0	 	 
70005	4	3	4	5	5	 	 	 
70005	5	0	 	 	 	0	 	 
70006	1	0	 	 	 	500	17	2
70006	2	3	4	5	5	0	 	 
70006	3	0	 	 	 	0	 	 
70006	4	0	 	 	 	 	 	 
70006	5	0	 	 	 	0	 	 
70007	1	3	4	5	5	2	4	2
70007	2	0	 	 	 	0	 	 
70007	3	0	 	 	 	0	 	 
70007	4	2	4	5	5	 	 	 
70007	5	0	 	 	 	0	 	 
70008	1	4	4	5	5	1000	17	2
70008	2	0	 	 	 	0	 	 
70008	3	0	 	 	 	0	 	 
70008	4	1	4	5	5	 	 	 
70008	5	0	 	 	 	0	 	 
70009	1	3	4	5	5	1	4	3
70009	2	0	 	 	 	0	 	 
70009	3	0	 	 	 	0	 	 
70009	4	.5	4	5	5	 	 	 
70009	5	0	 	 	 	0	 	 
70010	1	3	4	5	5	0	 	 
70010	2	0	 	 	 	1	4	2
70010	3	0	 	 	 	0	 	 
70010	4	0	 	 	 	 	 	 
70010	5	0	 	 	 	0	 	 
70011	1	2500	17	5	5	50	17	1
70011	2	0	 	 	 	0	 	 
70011	3	0	 	 	 	0	 	 
70011	4	0	 	 	 	 	 	 
70011	5	0	 	 	 	0	 	 
70012	1	500	17	5	5	500	17	1
70012	2	0	 	 	 	0	 	 
70012	3	0	 	 	 	0	 	 
70012	4	0	 	 	 	 	 	 
70012	5	0	 	 	 	0	 	 
70013	1	2	4	5	5	.5	4	3
70013	2	0	 	 	 	0	 	 
70013	3	0	 	 	 	0	 	 
70013	4	3	4	5	5	 	 	 
70013	5	0	 	 	 	0	 	 
70014	1	4	4	5	5	500	17	1
70014	2	0	 	 	 	0	 	 
70014	3	0	 	 	 	0	 	 
70014	4	1.5	4	5	5	 	 	 
70014	5	0	 	 	 	0	 	 
70015	1	2.25	4	5	5	1000	17	2
70015	2	0	 	 	 	0	 	 
70015	3	0	 	 	 	0	 	 
70015	4	2	4	5	5	 	 	 
70015	5	0	 	 	 	0	 	 
70016	1	8	4	5	5	1000	17	3
70016	2	0	 	 	 	0	 	 
70016	3	0	 	 	 	0	 	 
70016	4	0	 	 	 	 	 	 
70016	5	.25	4	6	5	0	 	 
70017	1	5000	17	5	5	1000	17	3
70017	2	0	 	 	 	0	 	 
70017	3	5000	17	5	5	0	 	 
70017	4	0	 	 	 	 	 	 
70017	5	0	 	 	 	0	 	 
70018	1	17500	17	5	5	1000	17	3
70018	2	0	 	 	 	0	 	 
70018	3	0	 	 	 	0	 	 
70018	4	0	 	 	 	 	 	 
70018	5	0	 	 	 	0	 	 
70019	1	3	4	5	5	500	17	1
70019	2	0	 	 	 	0	 	 
70019	3	0	 	 	 	0	 	 
70019	4	1	4	5	5	 	 	 
70019	5	.25	4	6	5	0	 	 
70020	1	10000	17	5	5	2500	17	3
70020	2	0	 	 	 	0	 	 
70020	3	5000	17	5	5	0	 	 
70020	4	0	 	 	 	 	 	 
70020	5	0	 	 	 	0	 	 
70021	1	5.5	4	5	5	1000	17	1
70021	2	.5	4	5	5	0	 	 
70021	3	0	 	 	 	0	 	 
70021	4	1	4	5	5	 	 	 
70021	5	0	 	 	 	0	 	 
70022	1	3	4	5	5	1000	17	3
70022	2	0	 	 	 	0	 	 
70022	3	0	 	 	 	0	 	 
70022	4	2	4	5	5	 	 	 
70022	5	0	 	 	 	0	 	 
70023	1	2	4	5	5	1000	17	3
70023	2	2	4	5	5	0	 	 
70023	3	0	 	 	 	0	 	 
70023	4	2	4	5	5	 	 	 
70023	5	0	 	 	 	0	 	 
70024	1	2.5	4	5	5	0	 	 
70024	2	0	 	 	 	1000	17	3
70024	3	0	 	 	 	0	 	 
70024	4	0	 	 	 	 	 	 
70024	5	0	 	 	 	0	 	 
70025	1	3	4	5	5	500	17	2
70025	2	0	 	 	 	0	 	 
70025	3	0	 	 	 	0	 	 
70025	4	3	4	5	5	 	 	 
70025	5	0	 	 	 	0	 	 
70026	1	6	4	5	5	1000	17	3
70026	2	0	 	 	 	0	 	 
70026	3	0	 	 	 	0	 	 
70026	4	2	4	5	5	 	 	 
70026	5	0	 	 	 	0	 	 
70027	1	4	4	10	5	500	17	1
70027	2	0	 	 	 	0	 	 
70027	3	0	 	 	 	0	 	 
70027	4	1	4	5	5	 	 	 
70027	5	0	 	 	 	0	 	 
70028	1	 	 	 	 	500	17	1
70028	2	 	 	 	 	0	 	 
70028	3	 	 	 	 	0	 	 
70028	4	 	 	 	 	 	 	 
70028	5	 	 	 	 	0	 	 
70029	1	 	 	 	 	0	 	 
70029	2	 	 	 	 	0	 	 
70029	3	 	 	 	 	100	17	1
70029	4	 	 	 	 	 	 	 
70029	5	 	 	 	 	0	 	 
70030	1	7500	17	5	5	400	17	1
70030	2	0	 	 	 	0	 	 
70030	3	0	 	 	 	0	 	 
70030	4	0	 	 	 	 	 	 
70030	5	0	 	 	 	0	 	 
70031	1	3.5	4	5	5	1000	17	2
70031	2	0	 	 	 	0	 	 
70031	3	0	 	 	 	0	 	 
70031	4	1	4	5	5	 	 	 
70031	5	0	 	 	 	0	 	 
70032	1	5000	17	5	5	200	17	1
70032	2	0	 	 	 	0	 	 
70032	3	0	 	 	 	0	 	 
70032	4	0	 	 	 	 	 	 
70032	5	0	 	 	 	0	 	 
70033	1	4	4	5	5	1000	17	7
70033	2	0	 	 	 	250	17	1
70033	3	0	 	 	 	0	 	 
70033	4	0	 	 	 	 	 	 
70033	5	0	 	 	 	0	 	 
70034	1	3	4	5	5	500	17	2
70034	2	0	 	 	 	0	 	 
70034	3	0	 	 	 	0	 	 
70034	4	1	4	5	5	 	 	 
70034	5	0	 	 	 	0	 	 
70035	1	3	4	5	4	1	4	3
70035	2	0	 	 	 	0	 	 
70035	3	0	 	 	 	0	 	 
70035	4	0	 	 	 	 	 	 
70035	5	0	 	 	 	0	 	 
70036	1	12500	17	5	1	1000	17	2
70036	2	0	 	 	 	0	 	 
70036	3	0	 	 	 	0	 	 
70036	4	0	 	 	 	 	 	 
70036	5	0	 	 	 	0	 	 
70037	1	 	 	 	 	200	17	1
70037	2	 	 	 	 	0	 	 
70037	3	 	 	 	 	0	 	 
70037	4	 	 	 	 	 	 	 
70037	5	 	 	 	 	0	 	 
70038	1	8	4	5	5	500	17	1
70038	2	0	 	 	 	0	 	 
70038	3	0	 	 	 	0	 	 
70038	4	0	 	 	 	 	 	 
70038	5	.5	4	6	5	0	 	 
70039	1	3	4	5	5	1	4	3
70039	2	0	 	 	 	0	 	 
70039	3	0	 	 	 	0	 	 
70039	4	0	 	 	 	 	 	 
70039	5	0	 	 	 	0	 	 
70040	1	5000	17	5	5	200	17	1
70040	2	0	 	 	 	0	 	 
70040	3	0	 	 	 	0	 	 
70040	4	0	 	 	 	 	 	 
70040	5	0	 	 	 	0	 	 
70041	1	4	4	5	5	1000	17	1
70041	2	0	 	 	 	0	 	 
70041	3	0	 	 	 	0	 	 
70041	4	0	 	 	 	 	 	 
70041	5	.5	4	6	5	0	 	 
70042	1	3.5	4	5	5	1000	17	1
70042	2	0	 	 	 	0	 	 
70042	3	0	 	 	 	0	 	 
70042	4	2	4	5	5	 	 	 
70042	5	0	 	 	 	0	 	 
70043	1	10000	17	5	5	1000	17	2
70043	2	0	 	 	 	0	 	 
70043	3	0	 	 	 	0	 	 
70043	4	0	 	 	 	 	 	 
70043	5	0	 	 	 	0	 	 
70044	1	3.5	4	5	5	1000	17	2
70044	2	0	 	 	 	0	 	 
70044	3	0	 	 	 	0	 	 
70044	4	0	 	 	 	 	 	 
70044	5	0	 	 	 	0	 	 
70045	1	5	4	5	5	500	5	2
70045	2	0	 	 	 	1000	4	1
70045	3	0	 	 	 	0	 	 
70045	4	2	4	5	5	 	 	 
70045	5	0	 	 	 	0	 	 
70046	1	4	4	5	5	1000	17	3
70046	2	0	 	 	 	0	 	 
70046	3	0	 	 	 	0	 	 
70046	4	2	4	5	5	 	 	 
70046	5	0	 	 	 	0	 	 
70047	1	4	4	5	5	1000	4	3
70047	2	0	 	 	 	0	 	 
70047	3	0	 	 	 	0	 	 
70047	4	0	 	 	 	 	 	 
70047	5	0	 	 	 	0	 	 
70048	1	15000	17	5	5	1000	17	2
70048	2	0	 	 	 	0	 	 
70048	3	0	 	 	 	0	 	 
70048	4	0	 	 	 	 	 	 
70048	5	0	 	 	 	0	 	 
70049	1	12500	17	5	5	1250	17	3
70049	2	0	 	 	 	0	 	 
70049	3	0	 	 	 	0	 	 
