CHILDCODE	ASSTIDR4	ASSETR4	NMTOTR4	ASACTR4	NMOWNR4	VLASTR4
50091	2	88	 	 	 	 
50091	3	88	 	 	 	 
50091	4	88	 	 	 	 
50091	5	88	 	 	 	 
50091	6	88	 	 	 	 
50092	1	1	2	11	2	60
50092	2	88	 	 	 	 
50092	3	88	 	 	 	 
50092	4	88	 	 	 	 
50092	5	88	 	 	 	 
50092	6	88	 	 	 	 
50093	1	 	 	 	 	 
50093	2	 	 	 	 	 
50093	3	 	 	 	 	 
50093	4	 	 	 	 	 
50093	5	 	 	 	 	 
50093	6	 	 	 	 	 
50094	1	 	 	 	 	 
50094	2	 	 	 	 	 
50094	3	 	 	 	 	 
50094	4	 	 	 	 	 
50094	5	 	 	 	 	 
50094	6	 	 	 	 	 
50095	1	 	 	 	 	 
50095	2	 	 	 	 	 
50095	3	 	 	 	 	 
50095	4	 	 	 	 	 
50095	5	 	 	 	 	 
50095	6	 	 	 	 	 
50096	1	 	 	 	 	 
50096	2	 	 	 	 	 
50096	3	 	 	 	 	 
50096	4	 	 	 	 	 
50096	5	 	 	 	 	 
50096	6	 	 	 	 	 
50097	1	 	 	 	 	 
50097	2	 	 	 	 	 
50097	3	 	 	 	 	 
50097	4	 	 	 	 	 
50097	5	 	 	 	 	 
50097	6	 	 	 	 	 
50098	1	 	 	 	 	 
50098	2	 	 	 	 	 
50098	3	 	 	 	 	 
50098	4	 	 	 	 	 
50098	5	 	 	 	 	 
50098	6	 	 	 	 	 
50100	1	 	 	 	 	 
50100	2	 	 	 	 	 
50100	3	 	 	 	 	 
50100	4	 	 	 	 	 
50100	5	 	 	 	 	 
50100	6	 	 	 	 	 
50102	1	40	4	26	4	10000
50102	2	40	4	26	4	8000
50102	3	88	 	 	 	 
50102	4	88	 	 	 	 
50102	5	88	 	 	 	 
50102	6	88	 	 	 	 
50105	1	1	4	11	4	80
50105	2	88	 	 	 	 
50105	3	88	 	 	 	 
50105	4	88	 	 	 	 
50105	5	88	 	 	 	 
50105	6	88	 	 	 	 
50107	1	 	 	 	 	 
50107	2	 	 	 	 	 
50107	3	 	 	 	 	 
50107	4	 	 	 	 	 
50107	5	 	 	 	 	 
50107	6	 	 	 	 	 
50108	1	 	 	 	 	 
50108	2	 	 	 	 	 
50108	3	 	 	 	 	 
50108	4	 	 	 	 	 
50108	5	 	 	 	 	 
50108	6	 	 	 	 	 
50109	1	 	 	 	 	 
50109	2	 	 	 	 	 
50109	3	 	 	 	 	 
50109	4	 	 	 	 	 
50109	5	 	 	 	 	 
50109	6	 	 	 	 	 
50114	1	1	2	11	2	50
50114	2	88	 	 	 	 
50114	3	88	 	 	 	 
50114	4	88	 	 	 	 
50114	5	88	 	 	 	 
50114	6	88	 	 	 	 
50115	1	 	 	 	 	 
50115	2	 	 	 	 	 
50115	3	 	 	 	 	 
50115	4	 	 	 	 	 
50115	5	 	 	 	 	 
50115	6	 	 	 	 	 
50117	1	25	1	24	1	4000
50117	2	5	1	11	1	250
50117	3	3	1	11	1	800
50117	4	1	2	11	2	50
50117	5	88	 	 	 	 
50117	6	88	 	 	 	 
50118	1	 	 	 	 	 
50118	2	 	 	 	 	 
50118	3	 	 	 	 	 
50118	4	 	 	 	 	 
50118	5	 	 	 	 	 
50118	6	 	 	 	 	 
60001	1	88	 	 	 	 
60001	2	88	 	 	 	 
60001	3	88	 	 	 	 
60001	4	88	 	 	 	 
60001	5	88	 	 	 	 
60001	6	88	 	 	 	 
60002	1	13	1	7	1	20
60002	2	88	 	 	 	 
60002	3	88	 	 	 	 
60002	4	88	 	 	 	 
60002	5	88	 	 	 	 
60002	6	88	 	 	 	 
60003	1	21	1	21	1	1000
60003	2	88	 	 	 	 
60003	3	88	 	 	 	 
60003	4	88	 	 	 	 
60003	5	88	 	 	 	 
60003	6	88	 	 	 	 
60004	1	23	30	23	30	500
60004	2	88	 	 	 	 
60004	3	88	 	 	 	 
60004	4	88	 	 	 	 
60004	5	88	 	 	 	 
60004	6	88	 	 	 	 
60005	1	 	 	 	 	 
60005	2	 	 	 	 	 
60005	3	 	 	 	 	 
60005	4	 	 	 	 	 
60005	5	 	 	 	 	 
60005	6	 	 	 	 	 
60006	1	40	3	11	3	9800
60006	2	40	10	11	10	3800
60006	3	8	4	11	4	2700
60006	4	25	1	11	1	18000
60006	5	88	 	 	 	 
60006	6	88	 	 	 	 
60007	1	 	 	 	 	 
60007	2	 	 	 	 	 
60007	3	 	 	 	 	 
60007	4	 	 	 	 	 
60007	5	 	 	 	 	 
60007	6	 	 	 	 	 
60008	1	 	 	 	 	 
60008	2	 	 	 	 	 
60008	3	 	 	 	 	 
60008	4	 	 	 	 	 
60008	5	 	 	 	 	 
60008	6	 	 	 	 	 
60009	1	 	 	 	 	 
60009	2	 	 	 	 	 
60009	3	 	 	 	 	 
60009	4	 	 	 	 	 
60009	5	 	 	 	 	 
60009	6	 	 	 	 	 
60010	1	 	 	 	 	 
60010	2	 	 	 	 	 
60010	3	 	 	 	 	 
60010	4	 	 	 	 	 
60010	5	 	 	 	 	 
60010	6	 	 	 	 	 
60012	1	23	5	23	5	1850
60012	2	25	1	23	1	8500
60012	3	88	 	 	 	 
60012	4	88	 	 	 	 
60012	5	88	 	 	 	 
60012	6	88	 	 	 	 
60013	1	23	25	23	25	7500
60013	2	40	1	9	1	1500
60013	3	88	 	 	 	 
60013	4	88	 	 	 	 
60013	5	88	 	 	 	 
60013	6	88	 	 	 	 
60014	1	 	 	 	 	 
60014	2	 	 	 	 	 
60014	3	 	 	 	 	 
60014	4	 	 	 	 	 
60014	5	 	 	 	 	 
60014	6	 	 	 	 	 
60015	1	40	2	11	2	15000
60015	2	1	5	11	5	750
60015	3	88	 	 	 	 
60015	4	88	 	 	 	 
60015	5	88	 	 	 	 
60015	6	88	 	 	 	 
60016	1	25	1	10	1	12000
60016	2	13	5	7	5	850
60016	3	88	 	 	 	 
60016	4	88	 	 	 	 
60016	5	88	 	 	 	 
60016	6	88	 	 	 	 
60018	1	5	2	11	2	6800
60018	2	40	8	11	8	31000
60018	3	8	6	11	6	2700
60018	4	40	17	11	17	5600
60018	5	25	2	11	2	32000
60018	6	24	1	23	1	25000
60019	1	1	7	11	7	820
60019	2	3	1	11	1	400
60019	3	8	2	11	2	370
60019	4	25	1	7	1	5700
60019	5	88	 	 	 	 
60019	6	88	 	 	 	 
60020	1	 	 	 	 	 
60020	2	 	 	 	 	 
60020	3	 	 	 	 	 
60020	4	 	 	 	 	 
60020	5	 	 	 	 	 
60020	6	 	 	 	 	 
60023	1	 	 	 	 	 
60023	2	 	 	 	 	 
60023	3	 	 	 	 	 
60023	4	 	 	 	 	 
60023	5	 	 	 	 	 
60023	6	 	 	 	 	 
60024	1	23	3	12	3	100
60024	2	88	 	 	 	 
60024	3	88	 	 	 	 
60024	4	88	 	 	 	 
60024	5	88	 	 	 	 
60024	6	88	 	 	 	 
60025	1	 	 	 	 	 
60025	2	 	 	 	 	 
60025	3	 	 	 	 	 
60025	4	 	 	 	 	 
60025	5	 	 	 	 	 
60025	6	 	 	 	 	 
60026	1	23	4	23	4	660
60026	2	25	1	23	1	9300
60026	3	13	6	7	5	570
60026	4	88	 	 	 	 
60026	5	88	 	 	 	 
60026	6	88	 	 	 	 
60027	1	40	6	11	6	54000
60027	2	5	2	11	2	750
60027	3	88	 	 	 	 
60027	4	88	 	 	 	 
60027	5	88	 	 	 	 
60027	6	88	 	 	 	 
60028	1	40	12	11	12	72000
60028	2	40	2	11	2	4200
60028	3	88	 	 	 	 
60028	4	88	 	 	 	 
60028	5	88	 	 	 	 
60028	6	88	 	 	 	 
60029	1	 	 	 	 	 
60029	2	 	 	 	 	 
60029	3	 	 	 	 	 
60029	4	 	 	 	 	 
60029	5	 	 	 	 	 
60029	6	 	 	 	 	 
60031	1	 	 	 	 	 
60031	2	 	 	 	 	 
60031	3	 	 	 	 	 
60031	4	 	 	 	 	 
60031	5	 	 	 	 	 
60031	6	 	 	 	 	 
60032	1	40	6	11	6	19400
60032	2	8	5	11	5	2100
60032	3	40	6	11	6	3400
60032	4	25	1	11	1	15600
60032	5	88	 	 	 	 
60032	6	88	 	 	 	 
60033	1	 	 	 	 	 
60033	2	 	 	 	 	 
60033	3	 	 	 	 	 
60033	4	 	 	 	 	 
60033	5	 	 	 	 	 
60033	6	 	 	 	 	 
60034	1	 	 	 	 	 
60034	2	 	 	 	 	 
60034	3	 	 	 	 	 
60034	4	 	 	 	 	 
60034	5	 	 	 	 	 
60034	6	 	 	 	 	 
60035	1	40	2	11	2	4000
60035	2	88	 	 	 	 
60035	3	88	 	 	 	 
60035	4	88	 	 	 	 
60035	5	88	 	 	 	 
60035	6	88	 	 	 	 
60036	1	13	5	7	5	1200
60036	2	25	2	7	2	6500
60036	3	88	 	 	 	 
60036	4	88	 	 	 	 
60036	5	88	 	 	 	 
60036	6	88	 	 	 	 
60037	1	40	20	26	20	80000
60037	2	88	 	 	 	 
60037	3	88	 	 	 	 
60037	4	88	 	 	 	 
60037	5	88	 	 	 	 
60037	6	88	 	 	 	 
60038	1	25	1	7	1	12000
60038	2	13	5	7	5	750
60038	3	40	1	11	1	1500
60038	4	88	 	 	 	 
60038	5	88	 	 	 	 
60038	6	88	 	 	 	 
60039	1	1	2	11	2	80
60039	2	88	 	 	 	 
60039	3	88	 	 	 	 
60039	4	88	 	 	 	 
60039	5	88	 	 	 	 
60039	6	88	 	 	 	 
60040	1	 	 	 	 	 
60040	2	 	 	 	 	 
60040	3	 	 	 	 	 
60040	4	 	 	 	 	 
60040	5	 	 	 	 	 
60040	6	 	 	 	 	 
60041	1	 	 	 	 	 
60041	2	 	 	 	 	 
60041	3	 	 	 	 	 
60041	4	 	 	 	 	 
60041	5	 	 	 	 	 
60041	6	 	 	 	 	 
60043	1	40	4	11	4	24000
60043	2	5	1	11	1	350
60043	3	1	5	11	5	400
60043	4	88	 	 	 	 
60043	5	88	 	 	 	 
60043	6	88	 	 	 	 
60044	1	40	2	26	2	15000
60044	2	88	 	 	 	 
60044	3	88	 	 	 	 
60044	4	88	 	 	 	 
60044	5	88	 	 	 	 
60044	6	88	 	 	 	 
60045	1	 	 	 	 	 
60045	2	 	 	 	 	 
60045	3	 	 	 	 	 
60045	4	 	 	 	 	 
60045	5	 	 	 	 	 
60045	6	 	 	 	 	 
60047	1	40	4	11	4	24000
60047	2	5	1	11	1	350
60047	3	88	 	 	 	 
60047	4	88	 	 	 	 
60047	5	88	 	 	 	 
60047	6	88	 	 	 	 
60048	1	 	 	 	 	 
60048	2	 	 	 	 	 
60048	3	 	 	 	 	 
60048	4	 	 	 	 	 
60048	5	 	 	 	 	 
60048	6	 	 	 	 	 
60049	1	 	 	 	 	 
60049	2	 	 	 	 	 
60049	3	 	 	 	 	 
60049	4	 	 	 	 	 
60049	5	 	 	 	 	 
60049	6	 	 	 	 	 
60050	1	40	2	11	2	4000
60050	2	1	3	11	3	200
60050	3	88	 	 	 	 
60050	4	88	 	 	 	 
60050	5	88	 	 	 	 
60050	6	88	 	 	 	 
60051	1	 	 	 	 	 
60051	2	 	 	 	 	 
60051	3	 	 	 	 	 
60051	4	 	 	 	 	 
60051	5	 	 	 	 	 
60051	6	 	 	 	 	 
60052	1	40	3	26	3	6000
60052	2	88	 	 	 	 
60052	3	88	 	 	 	 
60052	4	88	 	 	 	 
60052	5	88	 	 	 	 
60052	6	88	 	 	 	 
60053	1	 	 	 	 	 
60053	2	 	 	 	 	 
60053	3	 	 	 	 	 
60053	4	 	 	 	 	 
60053	5	 	 	 	 	 
60053	6	 	 	 	 	 
60054	1	 	 	 	 	 
60054	2	 	 	 	 	 
60054	3	 	 	 	 	 
60054	4	 	 	 	 	 
60054	5	 	 	 	 	 
60054	6	 	 	 	 	 
60056	1	1	3	5	3	270
60056	2	88	 	 	 	 
60056	3	88	 	 	 	 
60056	4	88	 	 	 	 
60056	5	88	 	 	 	 
60056	6	88	 	 	 	 
60057	1	40	15	11	15	90000
60057	2	40	1	11	1	7500
60057	3	5	2	11	2	700
60057	4	88	 	 	 	 
60057	5	88	 	 	 	 
60057	6	88	 	 	 	 
60058	1	7	1	24	1	30000
60058	2	88	 	 	 	 
60058	3	88	 	 	 	 
60058	4	88	 	 	 	 
60058	5	88	 	 	 	 
60058	6	88	 	 	 	 
60059	1	25	1	23	1	9000
60059	2	23	7	23	7	7500
60059	3	40	1	23	1	7000
60059	4	88	 	 	 	 
60059	5	88	 	 	 	 
60059	6	88	 	 	 	 
60060	1	 	 	 	 	 
60060	2	 	 	 	 	 
60060	3	 	 	 	 	 
60060	4	 	 	 	 	 
60060	5	 	 	 	 	 
60060	6	 	 	 	 	 
60061	1	40	2	11	2	2000
60061	2	88	 	 	 	 
60061	3	88	 	 	 	 
60061	4	88	 	 	 	 
60061	5	88	 	 	 	 
60061	6	88	 	 	 	 
60062	1	1	3	11	3	150
60062	2	88	 	 	 	 
60062	3	88	 	 	 	 
60062	4	88	 	 	 	 
60062	5	88	 	 	 	 
60062	6	88	 	 	 	 
60063	1	 	 	 	 	 
60063	2	 	 	 	 	 
60063	3	 	 	 	 	 
60063	4	 	 	 	 	 
60063	5	 	 	 	 	 
60063	6	 	 	 	 	 
60064	1	40	5	11	5	8500
60064	2	5	1	11	1	500
60064	3	8	2	11	2	700
60064	4	88	 	 	 	 
60064	5	88	 	 	 	 
60064	6	88	 	 	 	 
60065	1	 	 	 	 	 
60065	2	 	 	 	 	 
60065	3	 	 	 	 	 
60065	4	 	 	 	 	 
60065	5	 	 	 	 	 
60065	6	 	 	 	 	 
60066	1	23	3	23	3	3300
60066	2	24	1	23	1	32000
60066	3	40	1	23	1	1300
60066	4	88	 	 	 	 
60066	5	88	 	 	 	 
60066	6	88	 	 	 	 
60067	1	 	 	 	 	 
60067	2	 	 	 	 	 
60067	3	 	 	 	 	 
60067	4	 	 	 	 	 
60067	5	 	 	 	 	 
60067	6	 	 	 	 	 
60068	1	2	1	11	1	330
60068	2	3	1	11	1	210
60068	3	1	6	11	5	420
60068	4	88	 	 	 	 
60068	5	88	 	 	 	 
60068	6	88	 	 	 	 
60069	1	1	3	11	3	500
60069	2	17	8	16	8	1800
60069	3	25	1	10	1	12000
60069	4	88	 	 	 	 
60069	5	88	 	 	 	 
60069	6	88	 	 	 	 
60070	1	1	3	11	3	150
60070	2	88	 	 	 	 
60070	3	88	 	 	 	 
60070	4	88	 	 	 	 
60070	5	88	 	 	 	 
60070	6	88	 	 	 	 
60071	1	25	1	7	1	12000
60071	2	13	7	7	7	850
60071	3	1	3	11	3	350
60071	4	88	 	 	 	 
60071	5	88	 	 	 	 
60071	6	88	 	 	 	 
60073	1	1	6	11	6	300
60073	2	88	 	 	 	 
60073	3	88	 	 	 	 
60073	4	88	 	 	 	 
60073	5	88	 	 	 	 
60073	6	88	 	 	 	 
60074	1	5	1	11	1	7000
60074	2	3	1	11	1	3000
60074	3	1	2	11	2	300
60074	4	23	1	23	1	200
60074	5	88	 	 	 	 
60074	6	88	 	 	 	 
60075	1	 	 	 	 	 
60075	2	 	 	 	 	 
60075	3	 	 	 	 	 
60075	4	 	 	 	 	 
60075	5	 	 	 	 	 
60075	6	 	 	 	 	 
60076	1	25	1	7	1	12000
60076	2	13	5	7	5	2000
60076	3	1	3	11	3	500
60076	4	5	1	11	1	350
60076	5	88	 	 	 	 
60076	6	88	 	 	 	 
60077	1	1	2	11	2	2000
60077	2	88	 	 	 	 
60077	3	88	 	 	 	 
60077	4	88	 	 	 	 
60077	5	88	 	 	 	 
60077	6	88	 	 	 	 
60078	1	1	3	11	3	100
60078	2	88	 	 	 	 
60078	3	88	 	 	 	 
60078	4	88	 	 	 	 
60078	5	88	 	 	 	 
60078	6	88	 	 	 	 
60079	1	 	 	 	 	 
60079	2	 	 	 	 	 
60079	3	 	 	 	 	 
60079	4	 	 	 	 	 
60079	5	 	 	 	 	 
60079	6	 	 	 	 	 
60080	1	5	1	11	1	5000
60080	2	3	1	11	1	3000
60080	3	1	4	11	4	300
60080	4	88	 	 	 	 
60080	5	88	 	 	 	 
60080	6	88	 	 	 	 
60081	1	 	 	 	 	 
60081	2	 	 	 	 	 
60081	3	 	 	 	 	 
60081	4	 	 	 	 	 
60081	5	 	 	 	 	 
60081	6	 	 	 	 	 
60082	1	40	1	11	1	7500
60082	2	1	5	11	5	1200
60082	3	5	1	11	1	300
60082	4	3	1	11	1	200
60082	5	88	 	 	 	 
60082	6	88	 	 	 	 
60083	1	1	5	11	5	1500
60083	2	5	1	11	1	350
60083	3	88	 	 	 	 
60083	4	88	 	 	 	 
60083	5	88	 	 	 	 
60083	6	88	 	 	 	 
60084	1	13	2	7	2	150
60084	2	88	 	 	 	 
60084	3	88	 	 	 	 
60084	4	88	 	 	 	 
60084	5	88	 	 	 	 
60084	6	88	 	 	 	 
60085	1	 	 	 	 	 
60085	2	 	 	 	 	 
60085	3	 	 	 	 	 
60085	4	 	 	 	 	 
60085	5	 	 	 	 	 
60085	6	 	 	 	 	 
60086	1	 	 	 	 	 
60086	2	 	 	 	 	 
60086	3	 	 	 	 	 
60086	4	 	 	 	 	 
60086	5	 	 	 	 	 
60086	6	 	 	 	 	 
60087	1	3	1	11	1	3000
60087	2	88	 	 	 	 
60087	3	88	 	 	 	 
60087	4	88	 	 	 	 
60087	5	88	 	 	 	 
60087	6	88	 	 	 	 
60088	1	1	3	11	3	150
60088	2	88	 	 	 	 
60088	3	88	 	 	 	 
60088	4	88	 	 	 	 
60088	5	88	 	 	 	 
60088	6	88	 	 	 	 
60089	1	 	 	 	 	 
60089	2	 	 	 	 	 
60089	3	 	 	 	 	 
60089	4	 	 	 	 	 
60089	5	 	 	 	 	 
60089	6	 	 	 	 	 
60091	1	 	 	 	 	 
60091	2	 	 	 	 	 
60091	3	 	 	 	 	 
60091	4	 	 	 	 	 
60091	5	 	 	 	 	 
60091	6	 	 	 	 	 
60092	1	7	1	11	1	25000
60092	2	1	5	11	5	650
60092	3	5	1	11	1	850
60092	4	88	 	 	 	 
60092	5	88	 	 	 	 
60092	6	88	 	 	 	 
60093	1	1	5	11	4	330
60093	2	88	 	 	 	 
60093	3	88	 	 	 	 
60093	4	88	 	 	 	 
60093	5	88	 	 	 	 
60093	6	88	 	 	 	 
60094	1	23	5	23	5	200
60094	2	88	 	 	 	 
60094	3	88	 	 	 	 
60094	4	88	 	 	 	 
60094	5	88	 	 	 	 
60094	6	88	 	 	 	 
60095	1	25	2	10	2	-77
60095	2	20	5	10	5	-77
60095	3	88	 	 	 	 
60095	4	88	 	 	 	 
60095	5	88	 	 	 	 
60095	6	88	 	 	 	 
60096	1	3	1	11	1	200
60096	2	88	 	 	 	 
60096	3	88	 	 	 	 
60096	4	88	 	 	 	 
60096	5	88	 	 	 	 
60096	6	88	 	 	 	 
60097	1	1	4	5	4	180
60097	2	88	 	 	 	 
60097	3	88	 	 	 	 
60097	4	88	 	 	 	 
60097	5	88	 	 	 	 
60097	6	88	 	 	 	 
60098	1	6	1	11	1	5000
60098	2	1	2	11	2	10
60098	3	88	 	 	 	 
60098	4	88	 	 	 	 
60098	5	88	 	 	 	 
60098	6	88	 	 	 	 
60099	1	25	1	10	1	8500
60099	2	1	5	11	5	350
60099	3	88	 	 	 	 
60099	4	88	 	 	 	 
60099	5	88	 	 	 	 
60099	6	88	 	 	 	 
60100	1	 	 	 	 	 
60100	2	 	 	 	 	 
60100	3	 	 	 	 	 
60100	4	 	 	 	 	 
60100	5	 	 	 	 	 
60100	6	 	 	 	 	 
60103	1	40	3	11	3	9000
60103	2	88	 	 	 	 
60103	3	88	 	 	 	 
60103	4	88	 	 	 	 
60103	5	88	 	 	 	 
60103	6	88	 	 	 	 
60104	1	 	 	 	 	 
60104	2	 	 	 	 	 
60104	3	 	 	 	 	 
60104	4	 	 	 	 	 
60104	5	 	 	 	 	 
60104	6	 	 	 	 	 
60105	1	13	7	7	7	1800
60105	2	23	15	23	15	3500
60105	3	40	1	23	1	1600
60105	4	88	 	 	 	 
60105	5	88	 	 	 	 
60105	6	88	 	 	 	 
60106	1	9	6	2	6	1000
60106	2	88	 	 	 	 
60106	3	88	 	 	 	 
60106	4	88	 	 	 	 
60106	5	88	 	 	 	 
60106	6	88	 	 	 	 
60108	1	5	2	26	2	4000
60108	2	88	 	 	 	 
60108	3	88	 	 	 	 
60108	4	88	 	 	 	 
60108	5	88	 	 	 	 
60108	6	88	 	 	 	 
60109	1	40	6	11	6	30000
60109	2	5	1	11	1	650
60109	3	88	 	 	 	 
60109	4	88	 	 	 	 
60109	5	88	 	 	 	 
60109	6	88	 	 	 	 
60111	1	 	 	 	 	 
60111	2	 	 	 	 	 
60111	3	 	 	 	 	 
60111	4	 	 	 	 	 
60111	5	 	 	 	 	 
60111	6	 	 	 	 	 
60115	1	40	50	26	50	3500
60115	2	88	 	 	 	 
60115	3	88	 	 	 	 
60115	4	88	 	 	 	 
60115	5	88	 	 	 	 
60115	6	88	 	 	 	 
60119	1	1	5	11	5	1500
60119	2	5	1	11	1	800
60119	3	3	1	11	1	300
60119	4	88	 	 	 	 
60119	5	88	 	 	 	 
60119	6	88	 	 	 	 
60127	1	1	2	11	2	200
60127	2	88	 	 	 	 
60127	3	88	 	 	 	 
60127	4	88	 	 	 	 
60127	5	88	 	 	 	 
60127	6	88	 	 	 	 
70001	1	23	6	23	6	1000000
70001	2	24	2	23	2	400000
70001	3	40	2	23	2	20
70001	4	88	 	 	 	 
70001	5	88	 	 	 	 
70001	6	88	 	 	 	 
70002	1	1	1	11	1	8
70002	2	88	 	 	 	 
70002	3	88	 	 	 	 
70002	4	88	 	 	 	 
70002	5	88	 	 	 	 
70002	6	88	 	 	 	 
70003	1	 	 	 	 	 
70003	2	 	 	 	 	 
70003	3	 	 	 	 	 
70003	4	 	 	 	 	 
70003	5	 	 	 	 	 
70003	6	 	 	 	 	 
70004	1	 	 	 	 	 
70004	2	 	 	 	 	 
70004	3	 	 	 	 	 
70004	4	 	 	 	 	 
70004	5	 	 	 	 	 
70004	6	 	 	 	 	 
70005	1	 	 	 	 	 
70005	2	 	 	 	 	 
70005	3	 	 	 	 	 
70005	4	 	 	 	 	 
70005	5	 	 	 	 	 
70005	6	 	 	 	 	 
70006	1	 	 	 	 	 
70006	2	 	 	 	 	 
70006	3	 	 	 	 	 
70006	4	 	 	 	 	 
70006	5	 	 	 	 	 
70006	6	 	 	 	 	 
70007	1	 	 	 	 	 
70007	2	 	 	 	 	 
70007	3	 	 	 	 	 
70007	4	 	 	 	 	 
70007	5	 	 	 	 	 
70007	6	 	 	 	 	 
70008	1	 	 	 	 	 
70008	2	 	 	 	 	 
70008	3	 	 	 	 	 
70008	4	 	 	 	 	 
70008	5	 	 	 	 	 
70008	6	 	 	 	 	 
70009	1	25	1	24	1	120000
70009	2	23	4	23	4	10000
70009	3	88	 	 	 	 
70009	4	88	 	 	 	 
70009	5	88	 	 	 	 
70009	6	88	 	 	 	 
70010	1	 	 	 	 	 
70010	2	 	 	 	 	 
70010	3	 	 	 	 	 
70010	4	 	 	 	 	 
70010	5	 	 	 	 	 
70010	6	 	 	 	 	 
70011	1	25	2	26	2	100
70011	2	88	 	 	 	 
70011	3	88	 	 	 	 
70011	4	88	 	 	 	 
70011	5	88	 	 	 	 
70011	6	88	 	 	 	 
70012	1	3	1	11	1	400
70012	2	1	2	11	2	100
70012	3	88	 	 	 	 
70012	4	88	 	 	 	 
70012	5	88	 	 	 	 
70012	6	88	 	 	 	 
70013	1	 	 	 	 	 
70013	2	 	 	 	 	 
70013	3	 	 	 	 	 
70013	4	 	 	 	 	 
70013	5	 	 	 	 	 
70013	6	 	 	 	 	 
70015	1	 	 	 	 	 
70015	2	 	 	 	 	 
70015	3	 	 	 	 	 
70015	4	 	 	 	 	 
70015	5	 	 	 	 	 
70015	6	 	 	 	 	 
70016	1	 	 	 	 	 
70016	2	 	 	 	 	 
70016	3	 	 	 	 	 
70016	4	 	 	 	 	 
70016	5	 	 	 	 	 
70016	6	 	 	 	 	 
70017	1	25	1	11	1	2000
70017	2	88	 	 	 	 
70017	3	88	 	 	 	 
70017	4	88	 	 	 	 
70017	5	88	 	 	 	 
70017	6	88	 	 	 	 
70018	1	24	1	23	1	200
70018	2	88	 	 	 	 
70018	3	88	 	 	 	 
70018	4	88	 	 	 	 
70018	5	88	 	 	 	 
70018	6	88	 	 	 	 
70019	1	24	10	23	10	15000
70019	2	88	 	 	 	 
70019	3	88	 	 	 	 
70019	4	88	 	 	 	 
70019	5	88	 	 	 	 
70019	6	88	 	 	 	 
70021	1	 	 	 	 	 
70021	2	 	 	 	 	 
70021	3	 	 	 	 	 
70021	4	 	 	 	 	 
70021	5	 	 	 	 	 
70021	6	 	 	 	 	 
70022	1	 	 	 	 	 
70022	2	 	 	 	 	 
70022	3	 	 	 	 	 
70022	4	 	 	 	 	 
70022	5	 	 	 	 	 
70022	6	 	 	 	 	 
70023	1	25	1	24	1	50000
70023	2	88	 	 	 	 
70023	3	88	 	 	 	 
70023	4	88	 	 	 	 
70023	5	88	 	 	 	 
70023	6	88	 	 	 	 
70024	1	 	 	 	 	 
70024	2	 	 	 	 	 
70024	3	 	 	 	 	 
70024	4	 	 	 	 	 
70024	5	 	 	 	 	 
70024	6	 	 	 	 	 
70025	1	 	 	 	 	 
70025	2	 	 	 	 	 
70025	3	 	 	 	 	 
70025	4	 	 	 	 	 
70025	5	 	 	 	 	 
70025	6	 	 	 	 	 
70026	1	 	 	 	 	 
70026	2	 	 	 	 	 
70026	3	 	 	 	 	 
70026	4	 	 	 	 	 
70026	5	 	 	 	 	 
70026	6	 	 	 	 	 
70027	1	5	1	11	1	3000
70027	2	1	3	11	3	300
70027	3	88	 	 	 	 
70027	4	88	 	 	 	 
70027	5	88	 	 	 	 
70027	6	88	 	 	 	 
70028	1	 	 	 	 	 
70028	2	 	 	 	 	 
70028	3	 	 	 	 	 
70028	4	 	 	 	 	 
70028	5	 	 	 	 	 
70028	6	 	 	 	 	 
70029	1	30	1	30	1	3000
70029	2	88	 	 	 	 
70029	3	88	 	 	 	 
70029	4	88	 	 	 	 
70029	5	88	 	 	 	 
70029	6	88	 	 	 	 
70030	1	 	 	 	 	 
70030	2	 	 	 	 	 
70030	3	 	 	 	 	 
70030	4	 	 	 	 	 
70030	5	 	 	 	 	 
70030	6	 	 	 	 	 
70031	1	 	 	 	 	 
70031	2	 	 	 	 	 
70031	3	 	 	 	 	 
70031	4	 	 	 	 	 
70031	5	 	 	 	 	 
70031	6	 	 	 	 	 
70032	1	25	1	23	1	100
70032	2	3	1	11	1	100
70032	3	1	5	11	5	80
70032	4	88	 	 	 	 
70032	5	88	 	 	 	 
70032	6	88	 	 	 	 
70034	1	 	 	 	 	 
70034	2	 	 	 	 	 
70034	3	 	 	 	 	 
70034	4	 	 	 	 	 
70034	5	 	 	 	 	 
70034	6	 	 	 	 	 
70036	1	 	 	 	 	 
70036	2	 	 	 	 	 
70036	3	 	 	 	 	 
70036	4	 	 	 	 	 
70036	5	 	 	 	 	 
70036	6	 	 	 	 	 
70037	1	 	 	 	 	 
70037	2	 	 	 	 	 
70037	3	 	 	 	 	 
70037	4	 	 	 	 	 
70037	5	 	 	 	 	 
70037	6	 	 	 	 	 
70038	1	5	1	11	1	11000
70038	2	3	1	11	1	3200
70038	3	1	2	11	1	100
70038	4	8	1	11	1	100
70038	5	88	 	 	 	 
70038	6	88	 	 	 	 
70039	1	40	1	27	1	4500
70039	2	25	2	27	1	4000
70039	3	88	 	 	 	 
70039	4	88	 	 	 	 
70039	5	88	 	 	 	 
70039	6	88	 	 	 	 
70040	1	 	 	 	 	 
70040	2	 	 	 	 	 
70040	3	 	 	 	 	 
70040	4	 	 	 	 	 
70040	5	 	 	 	 	 
70040	6	 	 	 	 	 
